z,boundary,estimated_x,bisection_steps,queries,nominal_budget,actual_queries_total
-0.7736504573239855,0,-0.27655029296875,14,16,100000,22944
-0.7736504573239855,1,0.32342529296875,14,16,100000,22944
-0.7736504573239855,2,0.92340087890625,14,16,100000,22944
-0.7658431241366926,0,-0.27923583984375,14,16,100000,22944
-0.7658431241366926,1,0.32086181640625,14,16,100000,22944
-0.7658431241366926,2,0.92083740234375,14,16,100000,22944
-0.7656903765690377,0,-0.27923583984375,14,16,100000,22944
-0.7656903765690377,1,0.32073974609375,14,16,100000,22944
-0.7656903765690377,2,0.92071533203125,14,16,100000,22944
-0.7580181716663997,0,-0.28179931640625,14,16,100000,22944
-0.7580181716663997,1,0.31817626953125,14,16,100000,22944
-0.7580181716663997,2,0.91815185546875,14,16,100000,22944
-0.7573221757322176,0,-0.28204345703125,14,16,100000,22944
-0.7573221757322176,1,0.31793212890625,14,16,100000,22944
-0.7573221757322176,2,0.91802978515625,14,16,100000,22944
-0.7490548259250317,0,-0.28485107421875,14,16,100000,22944
-0.7490548259250317,1,0.31524658203125,14,16,100000,22944
-0.7490548259250317,2,0.91522216796875,14,16,100000,22944
-0.7489539748953975,0,-0.28485107421875,14,16,100000,22944
-0.7489539748953975,1,0.31512451171875,14,16,100000,22944
-0.7489539748953975,2,0.91522216796875,14,16,100000,22944
-0.7405857740585775,0,-0.28765869140625,14,16,100000,22944
-0.7405857740585775,1,0.31231689453125,14,16,100000,22944
-0.7405857740585775,2,0.91229248046875,14,16,100000,22944
-0.7405043035080711,0,-0.28765869140625,14,16,100000,22944
-0.7405043035080711,1,0.31231689453125,14,16,100000,22944
-0.7405043035080711,2,0.91229248046875,14,16,100000,22944
-0.7330302069001908,0,-0.29022216796875,14,16,100000,22944
-0.7330302069001908,1,0.30975341796875,14,16,100000,22944
-0.7330302069001908,2,0.90985107421875,14,16,100000,22944
-0.7322175732217573,0,-0.29046630859375,14,16,100000,22944
-0.7322175732217573,1,0.30950927734375,14,16,100000,22944
-0.7322175732217573,2,0.90948486328125,14,16,100000,22944
-0.7244158937613008,0,-0.29315185546875,14,16,100000,22944
-0.7244158937613008,1,0.30682373046875,14,16,100000,22944
-0.7244158937613008,2,0.90692138671875,14,16,100000,22944
-0.7238493723849373,0,-0.29327392578125,14,16,100000,22944
-0.7238493723849373,1,0.30670166015625,14,16,100000,22944
-0.7238493723849373,2,0.90667724609375,14,16,100000,22944
-0.7165847428514898,0,-0.29583740234375,14,16,100000,22944
-0.7165847428514898,1,0.30426025390625,14,16,100000,22944
-0.7165847428514898,2,0.90423583984375,14,16,100000,22944
-0.7154811715481172,0,-0.29620361328125,14,16,100000,22944
-0.7154811715481172,1,0.30377197265625,14,16,100000,22944
-0.7154811715481172,2,0.90386962890625,14,16,100000,22944
-0.7071975379304641,0,-0.29901123046875,14,16,100000,22944
-0.7071975379304641,1,0.30096435546875,14,16,100000,22944
-0.7071975379304641,2,0.90106201171875,14,16,100000,22944
-0.7071129707112971,0,-0.29901123046875,14,16,100000,22944
-0.7071129707112971,1,0.30096435546875,14,16,100000,22944
-0.7071129707112971,2,0.90093994140625,14,16,100000,22944
-0.6987447698744771,0,-0.30194091796875,14,16,100000,22944
-0.6987447698744771,1,0.29815673828125,14,16,100000,22944
-0.6987447698744771,2,0.89813232421875,14,16,100000,22944
-0.6986908571472012,0,-0.30194091796875,14,16,100000,22944
-0.6986908571472012,1,0.29803466796875,14,16,100000,22944
-0.6986908571472012,2,0.89813232421875,14,16,100000,22944
-0.6903765690376569,0,-0.30474853515625,14,16,100000,22944
