boundary,z,true_x,estimated_x,queries
0,-0.03765690376569042,-0.5811857556393651,-0.58123779296875,22944
0,-0.029288702928870425,-0.5853623392653073,-0.58538818359375,22944
0,-0.02092050209205032,-0.5895421889045488,-0.58953857421875,22944
0,-0.012552301255230214,-0.5937243766378462,-0.59368896484375,22944
0,-0.004184100418410108,-0.5979079693235213,-0.59796142578125,22944
0,0.004184100418409997,-0.6020920306764787,-0.60211181640625,22944
0,0.012552301255229992,-0.6062756233621538,-0.60626220703125,22944
0,0.02092050209205021,-0.6104578110954512,-0.61041259765625,22944
0,0.029288702928870203,-0.6146376607346925,-0.61468505859375,22944
0,0.0376569037656902,-0.6188142443606346,-0.61883544921875,22944
0,0.046025104602510414,-0.6229866413307374,-0.62298583984375,22944
0,0.05439330543933041,-0.6271539402990646,-0.62713623046875,22944
0,0.06276150627615062,-0.6313152411924788,-0.63128662109375,22944
0,0.07112970711297062,-0.6354696571341402,-0.63543701171875,22944
0,0.07949790794979061,-0.6396163163057422,-0.63958740234375,22944
0,0.08786610878661083,-0.6437543637403991,-0.64373779296875,22944
0,0.09623430962343082,-0.6478829630386458,-0.64788818359375,22944
0,0.10460251046025104,-0.6520012980006038,-0.65203857421875,22944
0,0.11297071129707104,-0.6561085741680036,-0.65606689453125,22944
0,0.12133891213389103,-0.6602040202704385,-0.66021728515625,22944
0,0.12970711297071125,-0.6642868895709214,-0.66424560546875,22944
0,0.13807531380753124,-0.6683564611065569,-0.66839599609375,22944
0,0.14644351464435146,-0.6724120408208742,-0.67242431640625,22944
0,0.15481171548117145,-0.6764529625851228,-0.67645263671875,22944
0,0.16317991631799145,-0.6804785891065817,-0.68048095703125,22944
0,0.17154811715481166,-0.6844883127226723,-0.68450927734375,22944
0,0.17991631799163166,-0.6884815560803906,-0.68853759765625,22944
0,0.18828451882845187,-0.6924577727012846,-0.69244384765625,22944
0,0.19665271966527187,-0.6964164474328695,-0.69647216796875,22944
0,0.20502092050209186,-0.7003570967880298,-0.70037841796875,22944
0,0.21338912133891208,-0.7042792691745562,-0.70428466796875,22944
0,0.22175732217573207,-0.7081825450175295,-0.70819091796875,22944
0,0.2301255230125523,-0.7120665367777929,-0.71209716796875,22944
0,0.23849372384937229,-0.7159308888702162,-0.71588134765625,22944
0,0.24686192468619228,-0.7197752774858868,-0.71978759765625,22944
0,0.2552301255230125,-0.7235994103227293,-0.72357177734375,22944
0,0.2635983263598325,-0.72740302622938,-0.72735595703125,22944
0,0.2719665271966527,-0.7311858947674093,-0.73114013671875,22944
0,0.2803347280334727,-0.7349478156972045,-0.73492431640625,22944
0,0.2887029288702927,-0.7386886183929936,-0.73870849609375,22944
0,0.2970711297071129,-0.7424081611926076,-0.74237060546875,22944
0,0.3054393305439329,-0.7461063306876563,-0.74615478515625,22944
0,0.3138075313807531,-0.7497830409598188,-0.74981689453125,22944
0,0.3221757322175731,-0.7534382327689342,-0.75347900390625,22944
0,0.3305439330543931,-0.7570718726985339,-0.75701904296875,22944
0,0.33891213389121333,-0.7606839522643621,-0.76068115234375,22944
0,0.3472803347280333,-0.7642744869913154,-0.76422119140625,22944
0,0.35564853556485354,-0.7678435154640838,-0.76788330078125,22944
0,0.36401673640167354,-0.771391098356598,-0.77142333984375,22944
0,0.37238493723849353,-0.7749173174451951,-0.77496337890625,22944
0,0.38075313807531375,-0.7784222746101952,-0.77838134765625,22944
0,0.38912133891213374,-0.7819060908303492,-0.78192138671875,22944
0,0.39748953974895396,-0.7853689051743791,-0.78533935546875,22944
0,0.40585774058577395,-0.7888108737935663,-0.78875732421875,22944
0,0.41422594142259395,-0.7922321689190961,-0.79217529296875,22944
0,0.42259414225941416,-0.7956329778675867,-0.79559326171875,22944
0,0.43096234309623416,-0.7990135020579717,-0.79901123046875,22944
0,0.4393305439330544,-0.8023739560426366,-0.80242919921875,22944
0,0.44769874476987437,-0.8057145665554382,-0.80572509765625,22944
0,0.45606694560669436,-0.8090355715789848,-0.80902099609375,22944
0,0.4644351464435146,-0.8123372194332897,-0.81231689453125,22944
0,0.4728033472803346,-0.8156197678876694,-0.81561279296875,22944
0,0.4811715481171548,-0.8188834832975138,-0.81890869140625,22944
0,0.4895397489539748,-0.8221286397673297,-0.82208251953125,22944
0,0.4979079497907948,-0.8253555183412342,-0.82537841796875,22944
0,0.506276150627615,-0.8285644062218683,-0.82855224609375,22944
0,0.514644351464435,-0.831755596018506,-0.83172607421875,22944
0,0.5230125523012552,-0.8349293850249406,-0.83489990234375,22944
0,0.5313807531380752,-0.8380860745275668,-0.83807373046875,22944
0,0.5397489539748952,-0.8412259691439076,-0.84124755859375,22944
0,0.5481171548117154,-0.8443493761916877,-0.84429931640625,22944
0,0.5564853556485354,-0.8474566050884222,-0.84747314453125,22944
0,0.5648535564853556,-0.8505479667813581,-0.85052490234375,22944
0,0.5732217573221756,-0.8536237732074936,-0.85357666015625,22944
0,0.5815899581589956,-0.8566843367833028,-0.85662841796875,22944
0,0.5899581589958158,-0.8597299699236942,-0.85968017578125,22944
0,0.5983263598326358,-0.8627609845896532,-0.86273193359375,22944
0,0.6066945606694558,-0.8657776918639504,-0.86578369140625,22944
0,0.615062761506276,-0.8687804015542282,-0.86883544921875,22944
0,0.623430962343096,-0.8717694218227334,-0.87176513671875,22944
0,0.6317991631799162,-0.8747450588419111,-0.87469482421875,22944
0,0.6401673640167362,-0.877707616475042,-0.87774658203125,22944
0,0.6485355648535562,-0.8806573959810768,-0.88067626953125,22944
0,0.6569037656903765,-0.883594695742793,-0.88360595703125,22944
0,0.6652719665271964,-0.8865198110173886,-0.88653564453125,22944
0,0.6736401673640167,-0.8894330337086123,-0.88946533203125,22944
0,0.6820083682008367,-0.8923346521595232,-0.89239501953125,22944
0,0.6903765690376567,-0.8952249509649766,-0.89520263671875,22944
0,0.6987447698744769,-0.8981042108029287,-0.89813232421875,22944
0,0.7071129707112969,-0.9009727082836663,-0.90093994140625,22944
0,0.7154811715481171,-0.9038307158160722,-0.90386962890625,22944
0,0.7238493723849371,-0.9066785014900556,-0.90667724609375,22944
0,0.7322175732217571,-0.9095163289742864,-0.90948486328125,22944
0,0.7405857740585773,-0.9123444574283985,-0.91229248046875,22944
0,0.7489539748953973,-0.9151631414288371,-0.91522216796875,22944
0,0.7573221757322175,-0.9179726309075573,-0.91802978515625,22944
