z,boundary,estimated_x,bisection_steps,queries,nominal_budget,actual_queries_total,seed,family,samples
-0.8498993176465067,0,-0.30255126953125,14,16,100000,22944,0,inventory_threshold,100000
-0.8498993176465067,1,0.29742431640625,14,16,100000,22944,0,inventory_threshold,100000
-0.8498993176465067,2,0.89752197265625,14,16,100000,22944,0,inventory_threshold,100000
-0.8493723849372385,0,-0.30267333984375,14,16,100000,22944,0,inventory_threshold,100000
-0.8493723849372385,1,0.29730224609375,14,16,100000,22944,0,inventory_threshold,100000
-0.8493723849372385,2,0.89727783203125,14,16,100000,22944,0,inventory_threshold,100000
-0.8410331832551021,0,-0.30560302734375,14,16,100000,22944,0,inventory_threshold,100000
-0.8410331832551021,1,0.29437255859375,14,16,100000,22944,0,inventory_threshold,100000
-0.8410331832551021,2,0.89434814453125,14,16,100000,22944,0,inventory_threshold,100000
-0.8410041841004184,0,-0.30560302734375,14,16,100000,22944,0,inventory_threshold,100000
-0.8410041841004184,1,0.29437255859375,14,16,100000,22944,0,inventory_threshold,100000
-0.8410041841004184,2,0.89434814453125,14,16,100000,22944,0,inventory_threshold,100000
-0.833938378191711,0,-0.30816650390625,14,16,100000,22944,0,inventory_threshold,100000
-0.833938378191711,1,0.29193115234375,14,16,100000,22944,0,inventory_threshold,100000
-0.833938378191711,2,0.89190673828125,14,16,100000,22944,0,inventory_threshold,100000
-0.8326359832635983,0,-0.30853271484375,14,16,100000,22944,0,inventory_threshold,100000
-0.8326359832635983,1,0.29144287109375,14,16,100000,22944,0,inventory_threshold,100000
-0.8326359832635983,2,0.89141845703125,14,16,100000,22944,0,inventory_threshold,100000
-0.8242677824267782,0,-0.31146240234375,14,16,100000,22944,0,inventory_threshold,100000
-0.8242677824267782,1,0.28851318359375,14,16,100000,22944,0,inventory_threshold,100000
-0.8242677824267782,2,0.88848876953125,14,16,100000,22944,0,inventory_threshold,100000
-0.8237056899922265,0,-0.31170654296875,14,16,100000,22944,0,inventory_threshold,100000
-0.8237056899922265,1,0.28826904296875,14,16,100000,22944,0,inventory_threshold,100000
-0.8237056899922265,2,0.88824462890625,14,16,100000,22944,0,inventory_threshold,100000
-0.8158995815899581,0,-0.31439208984375,14,16,100000,22944,0,inventory_threshold,100000
-0.8158995815899581,1,0.28558349609375,14,16,100000,22944,0,inventory_threshold,100000
-0.8158995815899581,2,0.88555908203125,14,16,100000,22944,0,inventory_threshold,100000
-0.8157296313046587,0,-0.31451416015625,14,16,100000,22944,0,inventory_threshold,100000
-0.8157296313046587,1,0.28546142578125,14,16,100000,22944,0,inventory_threshold,100000
-0.8157296313046587,2,0.88555908203125,14,16,100000,22944,0,inventory_threshold,100000
-0.8083919512735814,0,-0.31707763671875,14,16,100000,22944,0,inventory_threshold,100000
-0.8083919512735814,1,0.28289794921875,14,16,100000,22944,0,inventory_threshold,100000
-0.8083919512735814,2,0.88299560546875,14,16,100000,22944,0,inventory_threshold,100000
-0.8075313807531381,0,-0.31732177734375,14,16,100000,22944,0,inventory_threshold,100000
-0.8075313807531381,1,0.28265380859375,14,16,100000,22944,0,inventory_threshold,100000
-0.8075313807531381,2,0.88262939453125,14,16,100000,22944,0,inventory_threshold,100000
-0.799163179916318,0,-0.32025146484375,14,16,100000,22944,0,inventory_threshold,100000
-0.799163179916318,1,0.27972412109375,14,16,100000,22944,0,inventory_threshold,100000
-0.799163179916318,2,0.87969970703125,14,16,100000,22944,0,inventory_threshold,100000
-0.7990418096301547,0,-0.32037353515625,14,16,100000,22944,0,inventory_threshold,100000
-0.7990418096301547,1,0.27972412109375,14,16,100000,22944,0,inventory_threshold,100000
-0.7990418096301547,2,0.87969970703125,14,16,100000,22944,0,inventory_threshold,100000
-0.7907949790794979,0,-0.32318115234375,14,16,100000,22944,0,inventory_threshold,100000
-0.7907949790794979,1,0.27679443359375,14,16,100000,22944,0,inventory_threshold,100000
-0.7907949790794979,2,0.87677001953125,14,16,100000,22944,0,inventory_threshold,100000
-0.7905264584474141,0,-0.32330322265625,14,16,100000,22944,0,inventory_threshold,100000
-0.7905264584474141,1,0.27667236328125,14,16,100000,22944,0,inventory_threshold,100000
-0.7905264584474141,2,0.87664794921875,14,16,100000,22944,0,inventory_threshold,100000
