seed,family,structure,samples,queries,policy_risk
28,admission_control,structured,100000,21838,2e-05
28,resource_allocation,structured,100000,22944,6e-05
28,random_structured,structured,100000,20844,5e-05
28,oscillatory_fragmented,unstructured,100000,22104,0.18418
29,inventory_threshold,structured,100000,22944,5e-05
29,machine_replacement,structured,100000,22944,6e-05
29,admission_control,structured,100000,21838,4e-05
29,resource_allocation,structured,100000,22944,6e-05
29,random_structured,structured,100000,20844,1e-05
29,oscillatory_fragmented,unstructured,100000,22104,0.18539
