x,z,policy
-0.012552301255230214,-0.9916317991631799,1
-0.004184100418410108,-0.9916317991631799,1
0.004184100418409997,-0.9916317991631799,1
0.012552301255229992,-0.9916317991631799,1
0.02092050209205021,-0.9916317991631799,1
0.029288702928870203,-0.9916317991631799,1
0.0376569037656902,-0.9916317991631799,1
0.046025104602510414,-0.9916317991631799,1
0.05439330543933041,-0.9916317991631799,1
0.06276150627615062,-0.9916317991631799,1
0.07112970711297062,-0.9916317991631799,1
0.07949790794979061,-0.9916317991631799,1
0.08786610878661083,-0.9916317991631799,1
0.09623430962343082,-0.9916317991631799,1
0.10460251046025104,-0.9916317991631799,1
0.11297071129707104,-0.9916317991631799,1
0.12133891213389103,-0.9916317991631799,1
0.12970711297071125,-0.9916317991631799,1
0.13807531380753124,-0.9916317991631799,1
0.14644351464435146,-0.9916317991631799,1
0.15481171548117145,-0.9916317991631799,1
0.16317991631799145,-0.9916317991631799,1
0.17154811715481166,-0.9916317991631799,1
0.17991631799163166,-0.9916317991631799,1
0.18828451882845187,-0.9916317991631799,1
0.19665271966527187,-0.9916317991631799,1
0.20502092050209186,-0.9916317991631799,1
0.21338912133891208,-0.9916317991631799,1
0.22175732217573207,-0.9916317991631799,1
0.2301255230125523,-0.9916317991631799,1
0.23849372384937229,-0.9916317991631799,1
0.24686192468619228,-0.9916317991631799,1
0.2552301255230125,-0.9916317991631799,1
0.2635983263598325,-0.9916317991631799,1
0.2719665271966527,-0.9916317991631799,1
0.2803347280334727,-0.9916317991631799,1
0.2887029288702927,-0.9916317991631799,1
0.2970711297071129,-0.9916317991631799,1
0.3054393305439329,-0.9916317991631799,1
0.3138075313807531,-0.9916317991631799,1
0.3221757322175731,-0.9916317991631799,1
0.3305439330543931,-0.9916317991631799,1
0.33891213389121333,-0.9916317991631799,1
0.3472803347280333,-0.9916317991631799,2
0.35564853556485354,-0.9916317991631799,2
0.36401673640167354,-0.9916317991631799,2
0.37238493723849353,-0.9916317991631799,2
0.38075313807531375,-0.9916317991631799,2
0.38912133891213374,-0.9916317991631799,2
0.39748953974895396,-0.9916317991631799,2
0.40585774058577395,-0.9916317991631799,2
0.41422594142259395,-0.9916317991631799,2
0.42259414225941416,-0.9916317991631799,2
0.43096234309623416,-0.9916317991631799,2
0.4393305439330544,-0.9916317991631799,2
0.44769874476987437,-0.9916317991631799,2
0.45606694560669436,-0.9916317991631799,2
0.4644351464435146,-0.9916317991631799,2
0.4728033472803346,-0.9916317991631799,2
0.4811715481171548,-0.9916317991631799,2
0.4895397489539748,-0.9916317991631799,2
0.4979079497907948,-0.9916317991631799,2
0.506276150627615,-0.9916317991631799,2
0.514644351464435,-0.9916317991631799,2
0.5230125523012552,-0.9916317991631799,2
0.5313807531380752,-0.9916317991631799,2
0.5397489539748952,-0.9916317991631799,2
0.5481171548117154,-0.9916317991631799,2
0.5564853556485354,-0.9916317991631799,2
0.5648535564853556,-0.9916317991631799,2
0.5732217573221756,-0.9916317991631799,2
0.5815899581589956,-0.9916317991631799,2
0.5899581589958158,-0.9916317991631799,2
0.5983263598326358,-0.9916317991631799,2
0.6066945606694558,-0.9916317991631799,2
