seed,family,strategy,samples,queries,d_H,policy_risk
1,machine_replacement,uniform,1000,1000,0.14947171070193688,0.09453
1,machine_replacement,active_adaptive_bisection,1000,999,0.007477089776241563,0.00375
1,machine_replacement,uniform,2000,2000,0.09764237446622648,0.02748
1,machine_replacement,active_adaptive_bisection,2000,1980,0.003716023055209572,0.00196
1,machine_replacement,uniform,5000,5000,0.010605773652269668,0.00625
1,machine_replacement,active_adaptive_bisection,5000,4968,0.0009663357675370188,0.00072
1,machine_replacement,uniform,10000,10000,0.010967411189820461,0.00492
1,machine_replacement,active_adaptive_bisection,10000,9984,0.0004877482888393514,0.0003
1,machine_replacement,uniform,25000,25000,0.004546208637260324,0.00221
1,machine_replacement,active_adaptive_bisection,25000,20076,0.0002437853175595306,0.00016
1,machine_replacement,uniform,50000,50000,0.00274606533013777,0.00111
1,machine_replacement,active_adaptive_bisection,50000,21510,0.00012171500505953059,0.0001
1,machine_replacement,uniform,100000,100000,0.0015705053380369316,0.0007
1,machine_replacement,active_adaptive_bisection,100000,22944,6.067984880953059e-05,6e-05
1,admission_control,uniform,100,100,0.5,0.27839
1,admission_control,active_adaptive_bisection,100,79,0.10325139470013944,0.04643
1,admission_control,uniform,200,200,0.7357582468993253,0.37099
1,admission_control,active_adaptive_bisection,200,179,0.03711286873959596,0.02401
1,admission_control,uniform,500,500,0.2220537153084544,0.13369
1,admission_control,active_adaptive_bisection,500,456,0.019416478870705522,0.01057
1,admission_control,uniform,1000,1000,0.35353741524298465,0.14875
1,admission_control,active_adaptive_bisection,1000,950,0.0078125,0.00501
1,admission_control,uniform,2000,2000,0.13013518442529315,0.06474
1,admission_control,active_adaptive_bisection,2000,1892,0.006446218152883694,0.00273
1,admission_control,uniform,5000,5000,0.06663077854790211,0.02715
1,admission_control,active_adaptive_bisection,5000,4960,0.0014513762566268833,0.00073
1,admission_control,uniform,10000,10000,0.051123120234834375,0.02279
1,admission_control,active_adaptive_bisection,10000,9929,0.00048828125,0.00028
1,admission_control,uniform,25000,25000,0.046914315140270335,0.02191
1,admission_control,active_adaptive_bisection,25000,19128,0.000244140625,0.00014
1,admission_control,uniform,50000,50000,0.04623094696763409,0.02204
1,admission_control,active_adaptive_bisection,50000,20483,0.0001220703125,9e-05
1,admission_control,uniform,100000,100000,0.0460168260646198,0.02216
1,admission_control,active_adaptive_bisection,100000,21838,6.103515625e-05,5e-05
1,resource_allocation,uniform,100,100,0.4964027580075816,0.33355
1,resource_allocation,active_adaptive_bisection,100,84,0.03257011140332189,0.02434
1,resource_allocation,uniform,200,200,1.0654943382402402,0.38814
1,resource_allocation,active_adaptive_bisection,200,189,0.030314346728539,0.02003
1,resource_allocation,uniform,500,500,0.41566346465037596,0.14265
1,resource_allocation,active_adaptive_bisection,500,480,0.013859711378247569,0.0089
1,resource_allocation,uniform,1000,1000,0.1356749250249505,0.08804
1,resource_allocation,active_adaptive_bisection,1000,999,0.007770044603637394,0.00453
1,resource_allocation,uniform,2000,2000,0.11834508340224947,0.05536
1,resource_allocation,active_adaptive_bisection,2000,1980,0.003770958084288234,0.00243
1,resource_allocation,uniform,5000,5000,0.043411478197198095,0.02278
1,resource_allocation,active_adaptive_bisection,5000,4968,0.0009490465701175732,0.00048
1,resource_allocation,uniform,10000,10000,0.032051403344149076,0.01797
1,resource_allocation,active_adaptive_bisection,10000,9984,0.0004819421505068977,0.00026
1,resource_allocation,uniform,25000,25000,0.02735311513644023,0.01739
1,resource_allocation,active_adaptive_bisection,25000,20076,0.00024340871997247104,0.00013
1,resource_allocation,uniform,50000,50000,0.025426046515587275,0.01739
1,resource_allocation,active_adaptive_bisection,50000,21510,0.00012200175837440153,4e-05
1,resource_allocation,uniform,100000,100000,0.024371359167028483,0.01745
1,resource_allocation,active_adaptive_bisection,100000,22944,6.0966602124401525e-05,3e-05
1,random_structured,uniform,100,100,0.48934343959091053,0.30652
1,random_structured,active_adaptive_bisection,100,84,0.02858585989772766,0.01353
1,random_structured,uniform,200,200,0.48934343959091053,0.29076
1,random_structured,active_adaptive_bisection,200,189,0.031205545031105897,0.0342
1,random_structured,uniform,500,500,0.39333276066395484,0.14453
1,random_structured,active_adaptive_bisection,500,480,0.014947793154952017,0.00963
1,random_structured,uniform,1000,1000,0.28907472105840004,0.13327
1,random_structured,active_adaptive_bisection,1000,999,0.007640762694740455,0.00544
1,random_structured,uniform,2000,2000,0.13435037641636838,0.09059
1,random_structured,active_adaptive_bisection,2000,1980,0.003799879876749346,0.00273
1,random_structured,uniform,5000,5000,0.042213430056559975,0.01631
1,random_structured,active_adaptive_bisection,5000,4968,0.0009590913940613621,0.00073
1,random_structured,uniform,10000,10000,0.018703470572824288,0.00537
1,random_structured,active_adaptive_bisection,10000,9984,0.0004861933728331769,0.00033
1,random_structured,uniform,25000,25000,0.005378283717869747,0.00165
1,random_structured,active_adaptive_bisection,25000,20076,0.00024289480605854674,0.00017
1,random_structured,uniform,50000,50000,0.0037700968267821433,0.00123
1,random_structured,active_adaptive_bisection,50000,21510,0.00012197559552057369,5e-05
1,random_structured,uniform,100000,100000,0.0020869318453619057,0.00117
1,random_structured,active_adaptive_bisection,100000,22944,6.094043927057369e-05,7e-05
2,inventory_threshold,uniform,100,100,0.44999999999999996,0.27678
2,inventory_threshold,active_adaptive_bisection,100,84,0.03125,0.0176
2,inventory_threshold,uniform,200,200,0.44999999999999996,0.27678
2,inventory_threshold,active_adaptive_bisection,200,189,0.03125,0.01472
2,inventory_threshold,uniform,500,500,0.29575550066025535,0.10105
2,inventory_threshold,active_adaptive_bisection,500,480,0.015625,0.00979
2,inventory_threshold,uniform,1000,1000,0.1861986290024089,0.12291
2,inventory_threshold,active_adaptive_bisection,1000,999,0.0078125,0.00408
2,inventory_threshold,uniform,2000,2000,0.06013359272012764,0.04081
2,inventory_threshold,active_adaptive_bisection,2000,1980,0.00390625,0.00196
2,inventory_threshold,uniform,5000,5000,0.053820909903575354,0.01563
2,inventory_threshold,active_adaptive_bisection,5000,4968,0.0009765625,0.00054
2,inventory_threshold,uniform,10000,10000,0.011421057304812188,0.00475
2,inventory_threshold,active_adaptive_bisection,10000,9984,0.00048828125,0.00029
2,inventory_threshold,uniform,25000,25000,0.005858219094675099,0.0019
2,inventory_threshold,active_adaptive_bisection,25000,20076,0.000244140625,0.00019
2,inventory_threshold,uniform,50000,50000,0.0017217017454694838,0.00078
2,inventory_threshold,active_adaptive_bisection,50000,21510,0.0001220703125,5e-05
2,inventory_threshold,uniform,100000,100000,0.002729026407688462,0.00128
2,inventory_threshold,active_adaptive_bisection,100000,22944,6.103515625e-05,5e-05
2,machine_replacement,uniform,100,100,0.15217391304347827,0.09964
2,machine_replacement,active_adaptive_bisection,100,84,0.028373430962343127,0.01571
2,machine_replacement,uniform,200,200,0.15217391304347827,0.09964
2,machine_replacement,active_adaptive_bisection,200,189,0.02951658511261822,0.01567
2,machine_replacement,uniform,500,500,0.1487185266875531,0.05946
2,machine_replacement,active_adaptive_bisection,500,480,0.014987517400721628,0.00759
2,machine_replacement,uniform,1000,1000,0.20518038856777676,0.10334
2,machine_replacement,active_adaptive_bisection,1000,999,0.007386131071493551,0.00395
2,machine_replacement,uniform,2000,2000,0.08221536853151779,0.04331
2,machine_replacement,active_adaptive_bisection,2000,1980,0.0037821781911068914,0.0018
2,machine_replacement,uniform,5000,5000,0.014156262014074161,0.01162
2,machine_replacement,active_adaptive_bisection,5000,4968,0.000973924357405398,0.00054
2,machine_replacement,uniform,10000,10000,0.013400011408544077,0.00522
2,machine_replacement,active_adaptive_bisection,10000,9984,0.00048497092752308735,0.00028
2,machine_replacement,uniform,25000,25000,0.0038733774486161,0.00167
2,machine_replacement,active_adaptive_bisection,25000,20076,0.0002437853175595306,0.00018
2,machine_replacement,uniform,50000,50000,0.0028432011198420426,0.00083
2,machine_replacement,active_adaptive_bisection,50000,21510,0.00012171500505953059,6e-05
2,machine_replacement,uniform,100000,100000,0.0008180035465263358,0.00044
2,machine_replacement,active_adaptive_bisection,100000,22944,6.067984880953059e-05,5e-05
2,admission_control,uniform,100,100,0.5,0.27999
2,admission_control,active_adaptive_bisection,100,79,0.10325139470013944,0.04673
2,admission_control,uniform,200,200,0.5,0.27999
2,admission_control,active_adaptive_bisection,200,179,0.03271809185058727,0.02326
2,admission_control,uniform,500,500,0.3598956889804914,0.15975
2,admission_control,active_adaptive_bisection,500,456,0.019884714845971874,0.01138
2,admission_control,uniform,1000,1000,0.2577766179972357,0.13809
2,admission_control,active_adaptive_bisection,1000,950,0.008009957040973981,0.00563
2,admission_control,uniform,2000,2000,0.19406497598912076,0.07511
2,admission_control,active_adaptive_bisection,2000,1892,0.005986702804537929,0.0029
2,admission_control,uniform,5000,5000,0.05398097970171212,0.02683
2,admission_control,active_adaptive_bisection,5000,4990,0.0009765625,0.00062
2,admission_control,uniform,10000,10000,0.04612864443491327,0.02442
2,admission_control,active_adaptive_bisection,10000,9874,0.00048828125,0.00037
2,admission_control,uniform,25000,25000,0.04525301220554012,0.02214
