family,strategy,samples,d_H_mean,d_H_sd,d_H_ci95,policy_risk_mean,policy_risk_sd,policy_risk_ci95,queries_mean,queries_sd,queries_ci95
machine_replacement,uniform,100,0.15217391304347833,1.1292025708167404e-16,2.0203997520952348e-17,0.09985533333333332,0.000763330873860416,0.0002731544451229405,100.0,0.0,0.0
machine_replacement,uniform,200,0.6171728263978881,0.5456473624721041,0.19525740099452393,0.20925966666666668,0.13920041851114587,0.04981223003204,200.0,0.0,0.0
machine_replacement,uniform,500,0.25911570434187475,0.08717698013508089,0.031195881696573533,0.13250133333333336,0.03124899697516743,0.011182309954570471,500.0,0.0,0.0
machine_replacement,uniform,1000,0.15138227382472888,0.042087951988389605,0.015060980192780462,0.09154266666666665,0.014870646609166418,0.005321392547118395,1000.0,0.0,0.0
machine_replacement,uniform,2000,0.07080159483789886,0.01863855295049211,0.006669720514956146,0.040147,0.007152337524821205,0.0025594311128070233,2000.0,0.0,0.0
machine_replacement,uniform,5000,0.01934317418464054,0.006028967187096282,0.0021574382001963203,0.008697666666666666,0.0023893812261081655,0.0008550290907322788,5000.0,0.0,0.0
machine_replacement,uniform,10000,0.010901565552637455,0.0034442575025623525,0.0012325117182997412,0.0045780000000000005,0.0010719572817016094,0.00038359498679499567,10000.0,0.0,0.0
machine_replacement,uniform,25000,0.004400020303718533,0.0014000655081683397,0.0005010070077283722,0.0018033333333333334,0.00037207093625973446,0.0001331438745905953,25000.0,0.0,0.0
machine_replacement,uniform,50000,0.002440204416257193,0.0008603811954439199,0.000307883456681292,0.0009263333333333333,0.00023280128174391393,8.330686877247476e-05,50000.0,0.0,0.0
machine_replacement,uniform,100000,0.0014034120888961785,0.0004459821024981729,0.00015959264575079587,0.0006079999999999999,0.00014791423423611121,5.293042894258441e-05,100000.0,0.0,0.0
random_structured,active_adaptive_bisection,100,0.03979240529940977,0.014153311484984334,0.005064697469632269,0.01972166666666667,0.005925068358885934,0.002120258482015668,74.0,6.432675209026769,2.3019032604976375
random_structured,active_adaptive_bisection,200,0.030218986401055074,0.0007990392167757536,0.0002859325115281025,0.018593333333333333,0.004852912622285737,0.0017365924790472649,171.0,11.861267013789622,4.2444998893090835
random_structured,active_adaptive_bisection,500,0.015254341780408605,0.0011744434224357128,0.00042026918125465107,0.008307666666666668,0.0013006541678585496,0.0004654331164695024,453.0,25.782913347596217,9.226297049270597
random_structured,active_adaptive_bisection,1000,0.007649581059968635,0.00011091137346114079,3.9689125270650473e-05,0.0042780000000000006,0.0006712900601286945,0.00024021806292683708,955.1,34.0540645201836,12.186090484128053
random_structured,active_adaptive_bisection,2000,0.0038795535338861766,0.0002085819909461776,7.46401068666324e-05,0.002114666666666667,0.00036375184164324245,0.0001301669248146733,1956.5333333333333,28.55090231478693,10.216809180157707
random_structured,active_adaptive_bisection,5000,0.0010120387455601863,0.00014697564675816957,5.259455972712887e-05,0.00047933333333333335,8.73334210756776e-05,3.125186336820053e-05,4912.533333333334,61.60146288754073,22.04380038856461
random_structured,active_adaptive_bisection,10000,0.0004871663145925,9.967622486860378e-06,3.566867898089458e-06,0.000252,6.562169531909187e-05,2.348242208815855e-05,9795.466666666667,176.64024092104177,63.20989841685978
random_structured,active_adaptive_bisection,25000,0.00024228703473746575,4.895454873676977e-06,1.7518160281935026e-06,0.000129,4.08825061651659e-05,1.462961694488352e-05,18075.6,1510.5515229373266,540.5439203458832
random_structured,active_adaptive_bisection,50000,0.00012153973992419864,5.267409700561709e-07,1.8849183535778648e-07,6.2e-05,2.9641536560292758e-05,1.0607087632615137e-05,19342.9,1636.4308165154368,585.5892470413735
random_structured,active_adaptive_bisection,100000,6.06994480034937e-05,3.0566742147681155e-07,1.0938168200036198e-07,3.633333333333333e-05,1.7317189652806382e-05,6.196876731552248e-06,20610.2,1762.3101100935473,630.6345737368637
random_structured,uniform,100,0.48844408718750415,0.02698846956800608,0.009657699802293243,0.3616816666666667,0.05421342651380574,0.01940002552588991,100.0,0.0,0.0
random_structured,uniform,200,0.6710093718051131,0.3838965913019751,0.13737563089954977,0.38270566666666667,0.08171338018503684,0.029240757563862355,200.0,0.0,0.0
random_structured,uniform,500,0.7242081701258566,0.5448175949159332,0.1949604724879634,0.21326166666666665,0.08929943248394147,0.0319553915153247,500.0,0.0,0.0
random_structured,uniform,1000,0.32213549240431794,0.17935286115242705,0.0641805971001005,0.15069899999999997,0.038555961867359,0.013797073760160202,1000.0,0.0,0.0
random_structured,uniform,2000,0.1479952709032727,0.08041119299840498,0.028774775863670214,0.070537,0.012911658765199983,0.004620377750199428,2000.0,0.0,0.0
random_structured,uniform,5000,0.05508340238796294,0.01749948872402602,0.006262111616384814,0.017912333333333332,0.0045409840064821235,0.0016249702574320237,5000.0,0.0,0.0
random_structured,uniform,10000,0.018637266078150926,0.00693383045189055,0.002481239360965573,0.005443000000000001,0.0016366790387434148,0.0005856780722248848,10000.0,0.0,0.0
random_structured,uniform,25000,0.0060744065241816,0.0018815464307268854,0.0006733027430935983,0.0018293333333333334,0.0004359921964924359,0.00015601780379788618,25000.0,0.0,0.0
random_structured,uniform,50000,0.0032310317116139037,0.0010172904836542242,0.00036403272434940264,0.0012266666666666667,0.00028707001829222575,0.00010272668674002084,50000.0,0.0,0.0
random_structured,uniform,100000,0.0020350190947605873,0.00045727483890320957,0.00016363369957459478,0.0008879999999999999,0.00015933915249316904,5.7018783434652616e-05,100000.0,0.0,0.0
resource_allocation,active_adaptive_bisection,100,0.03257011140332189,0.0,0.0,0.024552333333333336,0.0006036879950788312,0.00021602697463183243,84.0,0.0,0.0
resource_allocation,active_adaptive_bisection,200,0.030103901031089737,0.000660590278641435,0.0002363891952952842,0.018868333333333334,0.0010120483950992602,0.00036215686705140683,189.0,0.0,0.0
resource_allocation,active_adaptive_bisection,500,0.014995560728681473,0.0004504619330381475,0.00016119573252128502,0.008487999999999999,0.0004502290604753893,0.00016111240014492917,480.0,0.0,0.0
resource_allocation,active_adaptive_bisection,1000,0.007613737823520484,0.00011910958913062097,4.2622819070915326e-05,0.004617,0.00019525668340364974,6.987170680249806e-05,999.0,0.0,0.0
resource_allocation,active_adaptive_bisection,2000,0.0038225278590176123,5.812807165199258e-05,2.0800863297807638e-05,0.002290666666666667,0.00014666248687879004,5.248249690350157e-05,1980.0,0.0,0.0
resource_allocation,active_adaptive_bisection,5000,0.0009571088603248051,1.1159154741125454e-05,3.99325223927802e-06,0.000525,5.137757460618195e-05,1.8385228953650832e-05,4968.0,0.0,0.0
resource_allocation,active_adaptive_bisection,10000,0.00048472954079353814,2.188704144749667e-06,7.832177194325042e-07,0.00029099999999999997,5.326252483429732e-05,1.9059749729996847e-05,9972.3,18.177572388276563,6.504760739324858
resource_allocation,active_adaptive_bisection,25000,0.00024340871997247104,0.0,0.0,0.000129,2.904811703791273e-05,1.0394735183747103e-05,20076.0,0.0,0.0
resource_allocation,active_adaptive_bisection,50000,0.00012200175837440153,0.0,0.0,7.166666666666667e-05,2.3937178316316365e-05,8.565809250888404e-06,21510.0,0.0,0.0
resource_allocation,active_adaptive_bisection,100000,6.0966602124401525e-05,0.0,0.0,2.8666666666666675e-05,1.8332810859848755e-05,6.560312112937697e-06,22944.0,0.0,0.0
resource_allocation,uniform,100,0.49640275800758166,1.6938038562251105e-16,2.0203997520952348e-17,0.33468333333333333,0.0017331142655552946,0.0006201869749460406,100.0,0.0,0.0
resource_allocation,uniform,200,0.7316287601076451,0.4428309718520158,0.1584650281309191,0.34300633333333336,0.10315877085024489,0.036914892055467864,200.0,0.0,0.0
resource_allocation,uniform,500,0.3644775724056446,0.17987356824941003,0.06436692974170931,0.15005333333333332,0.03171671780789663,0.011349681705028382,500.0,0.0,0.0
resource_allocation,uniform,1000,0.1933843689705831,0.055686111447778616,0.019927019061400743,0.11572233333333334,0.013926180673857405,0.004983419752709941,1000.0,0.0,0.0
resource_allocation,uniform,2000,0.10452990500645624,0.02537817051262546,0.009081461685878575,0.05785866666666666,0.00814029260396461,0.002912966297470804,2000.0,0.0,0.0
resource_allocation,uniform,5000,0.04220896042996925,0.006962867850896892,0.0024916302607509806,0.02222166666666667,0.0017446056432829488,0.0006242991116542297,5000.0,0.0,0.0
resource_allocation,uniform,10000,0.029777712326016937,0.0038463325133205662,0.0013763924130579931,0.017948000000000002,0.0007106014936366376,0.0002542854787416115,10000.0,0.0,0.0
resource_allocation,uniform,25000,0.02642435572857462,0.0016390885145299704,0.0005865402920617234,0.01729466666666667,0.0004988658401181441,0.0001785168482169625,25000.0,0.0,0.0
resource_allocation,uniform,50000,0.02539102149745601,0.0007094259992447736,0.00025386483347577686,0.017305666666666667,0.00048714993325593784,0.00017432436478985667,50000.0,0.0,0.0
resource_allocation,uniform,100000,0.024983481179034633,0.0005025097422292636,0.000179820801840915,0.017335,0.0004638723813797245,0.00016599459982907214,100000.0,0.0,0.0
