seed,budget,boundary,dH_j
4,2000,B2,0.00020662073378714782
4,5000,B0,8.046753126445697e-05
4,5000,B1,7.93090520310638e-05
4,5000,B2,7.479804128426284e-05
4,10000,B0,6.858477611000086e-05
4,10000,B1,4.806527302783467e-05
4,10000,B2,6.0713758992504696e-05
4,25000,B0,3.183364414985953e-05
4,25000,B1,3.634457895794563e-05
4,25000,B2,3.5237846564239664e-05
4,50000,B0,3.160324508093901e-05
4,50000,B1,3.287002857391824e-05
4,50000,B2,2.7975524761001345e-05
4,100000,B0,2.2858172199157318e-05
4,100000,B1,2.126702362642358e-05
4,100000,B2,2.376445718856848e-05
5,100,B0,0.004599518035755307
5,100,B1,0.004793052548552544
5,100,B2,0.004110099382905641
5,200,B0,0.001369497485744814
5,200,B1,0.001527072831527147
5,200,B2,0.0018881043664931067
5,500,B0,0.0011843150714643115
5,500,B1,0.0007653748373968937
5,500,B2,0.0006065817140475388
5,1000,B0,0.00048702148635444063
5,1000,B1,0.0004200421612704381
5,1000,B2,0.00033621057626526124
5,2000,B0,0.00020985047085202
5,2000,B1,0.00016630099369194882
5,2000,B2,0.00018782543419544004
5,5000,B0,0.0001069752535646428
5,5000,B1,7.993906383068639e-05
5,5000,B2,7.45290508815878e-05
5,10000,B0,5.799135159997881e-05
5,10000,B1,5.290841620786245e-05
5,10000,B2,4.105564242445489e-05
5,25000,B0,4.496210639789285e-05
5,25000,B1,2.8133764747236745e-05
5,25000,B2,2.737954963473536e-05
5,50000,B0,2.997835344460376e-05
5,50000,B1,2.9229160250955034e-05
5,50000,B2,2.5189778152186058e-05
5,100000,B0,2.758882045753043e-05
5,100000,B1,2.1143730521093786e-05
5,100000,B2,2.087930849535087e-05
6,100,B0,0.0040551049115837194
6,100,B1,0.003919401063976196
6,100,B2,0.00400854200262855
6,200,B0,0.0024886921075717608
6,200,B1,0.0015610971796082309
6,200,B2,0.0019932600160654378
6,500,B0,0.0010937430476045088
6,500,B1,0.0008265130909768791
6,500,B2,0.0008187412298909543
6,1000,B0,0.00047996604714948697
6,1000,B1,0.0003818065282299552
6,1000,B2,0.000380174700996651
6,2000,B0,0.00018955498865185467
6,2000,B1,0.0002199922181587736
6,2000,B2,0.00019207840404648476
6,5000,B0,7.742333063119688e-05
6,5000,B1,0.0001063625972872897
6,5000,B2,7.975830824430958e-05
6,10000,B0,7.36266400434875e-05
6,10000,B1,5.816223100463624e-05
6,10000,B2,4.800167603083408e-05
6,25000,B0,4.5897324410775815e-05
6,25000,B1,3.0504281577287733e-05
6,25000,B2,3.6371804667795965e-05
6,50000,B0,2.739623408334568e-05
6,50000,B1,2.060010831571526e-05
6,50000,B2,2.7517419436320058e-05
6,100000,B0,2.2506121292535485e-05
6,100000,B1,1.6807316210134967e-05
6,100000,B2,1.882296812806484e-05
7,100,B0,0.005335504389019447
7,100,B1,0.005432757759755649
7,100,B2,0.003595611130284085
7,200,B0,0.002465495636869541
7,200,B1,0.0016905197945804406
7,200,B2,0.0015191193943059034
7,500,B0,0.0006667516796470227
7,500,B1,0.0008813370557072427
7,500,B2,0.00087627224101815
7,1000,B0,0.0003251153846195636
7,1000,B1,0.00047520371768312224
7,1000,B2,0.0003060893869074745
7,2000,B0,0.00027447130801185065
7,2000,B1,0.00018871921498718583
7,2000,B2,0.0001579465835444658
7,5000,B0,0.0001322554402085716
7,5000,B1,6.291865007538748e-05
7,5000,B2,6.686981777219837e-05
7,10000,B0,5.358136380983024e-05
7,10000,B1,5.160150025446249e-05
7,10000,B2,5.645303164566653e-05
7,25000,B0,3.926076015906567e-05
7,25000,B1,2.4898768708956916e-05
7,25000,B2,3.113188830244579e-05
7,50000,B0,3.197112695394513e-05
7,50000,B1,2.0837731069302813e-05
7,50000,B2,2.28438037792115e-05
7,100000,B0,2.276575998819307e-05
7,100000,B1,2.872477907932408e-05
7,100000,B2,2.1848365026632908e-05
8,100,B0,0.005871515898744469
8,100,B1,0.0032862491656928867
8,100,B2,0.003062294709540834
8,200,B0,0.0022095882262214567
8,200,B1,0.0024866358158510756
8,200,B2,0.0020485938744066136
8,500,B0,0.001177677690654947
8,500,B1,0.0009051051001912455
8,500,B2,0.0007836231468258948
8,1000,B0,0.00041024312974541246
8,1000,B1,0.0005483912254389899
8,1000,B2,0.00040910383752462405
8,2000,B0,0.00023572394562506628
8,2000,B1,0.000271226870849104
8,2000,B2,9.464128927076636e-05
8,5000,B0,0.00013252610927394647
8,5000,B1,9.889407609156634e-05
8,5000,B2,7.987854272435384e-05
8,10000,B0,5.892704223615498e-05
8,10000,B1,6.680191768117492e-05
8,10000,B2,3.0201757469558347e-05
8,25000,B0,2.9108795153485407e-05
8,25000,B1,3.114729182552383e-05
8,25000,B2,3.0436209949555176e-05
8,50000,B0,2.7818517608639466e-05
8,50000,B1,2.3900980994134895e-05
8,50000,B2,2.2625487403485476e-05
8,100000,B0,2.3874402691783157e-05
8,100000,B1,3.19884346314124e-05
8,100000,B2,2.9201070161218825e-05
9,100,B0,0.004799547950605354
9,100,B1,0.004918821267625492
9,100,B2,0.004004776334751988
9,200,B0,0.00292885673797393
9,200,B1,0.0013088169959597495
9,200,B2,0.002233645521059318
9,500,B0,0.0009283495908338897
9,500,B1,0.0007437557459041479
9,500,B2,0.0006975714905823237
9,1000,B0,0.0004289130704227478
9,1000,B1,0.000475245917613716
9,1000,B2,0.00036058759085689964
9,2000,B0,0.00029233823259356876
9,2000,B1,0.00022019896788528145
9,2000,B2,0.00023788812650132142
9,5000,B0,0.0001239007640974797
9,5000,B1,7.497340831753717e-05
9,5000,B2,6.660022104589156e-05
9,10000,B0,4.5440655887904676e-05
9,10000,B1,5.995580525988526e-05
9,10000,B2,4.773422758844042e-05
9,25000,B0,3.086742719032102e-05
9,25000,B1,3.2709263655418225e-05
9,25000,B2,2.974656336406924e-05
9,50000,B0,2.841086870932959e-05
9,50000,B1,2.7967988371685028e-05
9,50000,B2,2.3872805529986818e-05
9,100000,B0,2.820308377830874e-05
9,100000,B1,2.219609962002602e-05
9,100000,B2,2.2562534327524235e-05
10,100,B0,0.004950457166882158
10,100,B1,0.0048687934921551965
10,100,B2,0.0036583770271375222
10,200,B0,0.003036992831525388
10,200,B1,0.0016930937165759105
10,200,B2,0.0019251342192949748
10,500,B0,0.0008856918191393748
10,500,B1,0.0007521136376795311
10,500,B2,0.0007400831200943479
10,1000,B0,0.00035137475973339875
10,1000,B1,0.000549054373416074
10,1000,B2,0.0003674236798721915
10,2000,B0,0.00028088923005422414
10,2000,B1,0.0002914507636290736
10,2000,B2,0.00022419571171293428
10,5000,B0,0.0001153428273611891
10,5000,B1,8.809753424778595e-05
10,5000,B2,6.555136393979484e-05
10,10000,B0,5.6602383248609874e-05
10,10000,B1,6.72718560741339e-05
10,10000,B2,4.2466320587496176e-05
10,25000,B0,4.21957697535514e-05
10,25000,B1,3.743469823281506e-05
10,25000,B2,3.1357621462318826e-05
10,50000,B0,2.9215237004397245e-05
10,50000,B1,2.3349549726788646e-05
10,50000,B2,2.3873112886191866e-05
10,100000,B0,2.4481094590081686e-05
10,100000,B1,2.877295885373101e-05
10,100000,B2,1.649436560125651e-05
11,100,B0,0.003758081644188229
11,100,B1,0.004058633526351635
11,100,B2,0.0034670587019181775
11,200,B0,0.001468750040011391
11,200,B1,0.0019181413036834943
11,200,B2,0.002198324289175536
11,500,B0,0.0007507819191575307
11,500,B1,0.0009422123199498293
11,500,B2,0.0006541172369279155
11,1000,B0,0.000407351639582631
11,1000,B1,0.0006019042554732544
11,1000,B2,0.00034502356240902345
11,2000,B0,0.00025086419300927496
11,2000,B1,0.00020519896649669043
11,2000,B2,0.00015531274845064885
11,5000,B0,9.601974533890761e-05
11,5000,B1,9.370823921850945e-05
11,5000,B2,9.53403317810282e-05
11,10000,B0,6.101751449947236e-05
11,10000,B1,3.395777234049155e-05
11,10000,B2,4.000600597699458e-05
11,25000,B0,5.161487564908184e-05
11,25000,B1,3.123892479117955e-05
11,25000,B2,3.614742074723324e-05
11,50000,B0,3.195510943285266e-05
11,50000,B1,2.1886182914177674e-05
11,50000,B2,3.1906243327855196e-05
11,100000,B0,2.4276552011181207e-05
11,100000,B1,1.8476887651355963e-05
11,100000,B2,2.607006101525936e-05
12,100,B0,0.004691980698894875
12,100,B1,0.0038753796280215913
12,100,B2,0.004284897446213921
12,200,B0,0.0018650582346570494
12,200,B1,0.0020788062202840418
12,200,B2,0.0013950079211802612
12,500,B0,0.0009360769819436273
12,500,B1,0.0005440495955925188
12,500,B2,0.0007254238612313913
12,1000,B0,0.0004908081544461073
12,1000,B1,0.00023270231431825276
12,1000,B2,0.00036124055328887026
12,2000,B0,0.0002220504305659128
12,2000,B1,0.00022233156907224032
12,2000,B2,0.00017620807340052474
12,5000,B0,0.00010394023998614624
12,5000,B1,0.00010777912045474207
12,5000,B2,0.00010150207787053433
12,10000,B0,7.862547387485132e-05
12,10000,B1,5.149249114929334e-05
12,10000,B2,4.2688736958249215e-05
12,25000,B0,4.3599864031384316e-05
12,25000,B1,3.923533718166959e-05
12,25000,B2,3.7375854278001095e-05
12,50000,B0,2.9687121011143105e-05
12,50000,B1,2.7261110093911576e-05
12,50000,B2,3.0780306479337114e-05
12,100000,B0,2.5799047632889727e-05
12,100000,B1,2.118109628067136e-05
12,100000,B2,2.4653466238368106e-05
13,100,B0,0.005633646667268623
13,100,B1,0.002635030217140263
13,100,B2,0.003113186256284069
13,200,B0,0.0015482020672368557
13,200,B1,0.0023473516055378244
13,200,B2,0.001913326784344997
13,500,B0,0.0008892405132122549
13,500,B1,0.0009337253496379203
13,500,B2,0.0006556113971408109
13,1000,B0,0.0003481706122263025
13,1000,B1,0.00040899906009406856
13,1000,B2,0.00037503625333957396
13,2000,B0,0.00021373803263757083
13,2000,B1,0.00021960140004853942
13,2000,B2,0.00018522074061278631
13,5000,B0,0.00012700805652065625
13,5000,B1,9.070289099183808e-05
13,5000,B2,7.95413096232207e-05
13,10000,B0,7.936480971958485e-05
13,10000,B1,3.1144417534823704e-05
13,10000,B2,5.2170924370723645e-05
13,25000,B0,3.548171204981156e-05
13,25000,B1,3.810471506103681e-05
13,25000,B2,2.9067540228756872e-05
13,50000,B0,2.0555206453872453e-05
13,50000,B1,2.468630238319269e-05
13,50000,B2,1.8626060260737817e-05
13,100000,B0,1.8137690759739263e-05
13,100000,B1,2.786127193192075e-05
13,100000,B2,2.2937945391164032e-05
14,100,B0,0.004112843052988609
14,100,B1,0.004504036511393707
14,100,B2,0.002368840917951534
14,200,B0,0.002591403818354402
14,200,B1,0.0019168208993578034
14,200,B2,0.0016025539444408565
14,500,B0,0.0006103344339419924
14,500,B1,0.0007635115864843535
14,500,B2,0.0006347161611926903
14,1000,B0,0.00039606102745296147
14,1000,B1,0.0003802954522500207
14,1000,B2,0.00030816181488966973
14,2000,B0,0.0001371351314334881
14,2000,B1,0.00018167838008034134
14,2000,B2,0.00016934761984043996
14,5000,B0,0.00010026764192074015
14,5000,B1,8.633140860288102e-05
14,5000,B2,7.998273660781578e-05
14,10000,B0,4.7800642834001514e-05
14,10000,B1,6.760205013378107e-05
14,10000,B2,4.799057550386745e-05
14,25000,B0,4.112712444222876e-05
14,25000,B1,3.80677303557045e-05
14,25000,B2,3.130427216728267e-05
14,50000,B0,2.8167301684578113e-05
14,50000,B1,1.8213531000705093e-05
14,50000,B2,2.520747534309535e-05
14,100000,B0,2.548256641922232e-05
14,100000,B1,2.3995589430749994e-05
14,100000,B2,2.2749424023856874e-05
15,100,B0,0.005324084133868521
15,100,B1,0.004323965076769425
15,100,B2,0.0035126820902181164
15,200,B0,0.0022138938412854183
15,200,B1,0.0028359091105597135
15,200,B2,0.0014830910661973562
15,500,B0,0.000738173021672809
15,500,B1,0.001142494997262863
15,500,B2,0.0006029125122635157
15,1000,B0,0.0004725284909444467
15,1000,B1,0.0004398515368543848
15,1000,B2,0.0003653113492382369
15,2000,B0,0.00020622193671780296
15,2000,B1,0.00013956266782980464
15,2000,B2,0.00018667880674323506
15,5000,B0,0.000111487439312638
15,5000,B1,9.953116104816084e-05
15,5000,B2,8.259264119812408e-05
15,10000,B0,6.697912740362012e-05
15,10000,B1,6.517596712936727e-05
15,10000,B2,6.0195331525954844e-05
15,25000,B0,3.7440269255730526e-05
15,25000,B1,3.906616910657461e-05
15,25000,B2,2.3465378626547924e-05
15,50000,B0,2.8479929753864796e-05
15,50000,B1,2.5170813897055398e-05
15,50000,B2,3.0709997277048005e-05
15,100000,B0,2.3700484344398996e-05
15,100000,B1,2.9773062699852083e-05
15,100000,B2,2.1450207694267237e-05
16,100,B0,0.0037195485998529633
16,100,B1,0.004784265555204467
16,100,B2,0.003617478259388604
16,200,B0,0.0025593524829889427
16,200,B1,0.0019030688037599132
16,200,B2,0.0019485475736803913
16,500,B0,0.0007214555278001232
16,500,B1,0.0010900000153701895
16,500,B2,0.0007229640216160945
16,1000,B0,0.0003636369556343471
16,1000,B1,0.00044046455234841815
16,1000,B2,0.00036828870606524103
16,2000,B0,0.0003072725708203826
16,2000,B1,0.00019080548052418224
16,2000,B2,0.0001893130143596688
16,5000,B0,6.951291044084257e-05
16,5000,B1,7.450010313677163e-05
16,5000,B2,5.566754744313588e-05
16,10000,B0,5.83395098525265e-05
16,10000,B1,5.556687877976087e-05
16,10000,B2,4.9733460996703315e-05
16,25000,B0,3.9749057969039706e-05
16,25000,B1,3.2788275643033746e-05
16,25000,B2,2.8058048787629093e-05
16,50000,B0,2.3580465133496614e-05
16,50000,B1,2.222518094298118e-05
16,50000,B2,3.1789624877130085e-05
16,100000,B0,2.6140454907523323e-05
16,100000,B1,1.463910700958661e-05
16,100000,B2,1.8129418222735342e-05
17,100,B0,0.004421150229447341
17,100,B1,0.005026247874172569
17,100,B2,0.0036601414335910953
17,200,B0,0.0021440423363904572
17,200,B1,0.0025523725296029256
17,200,B2,0.0021504761754408434
17,500,B0,0.0009753870762862263
17,500,B1,0.0008131666547095251
17,500,B2,0.000528356818424139
17,1000,B0,0.00039653049664046993
17,1000,B1,0.00038656611136542456
17,1000,B2,0.00030062067675868667
17,2000,B0,0.0002649728211125103
17,2000,B1,0.0001696450584809811
17,2000,B2,0.00016209390527001984
17,5000,B0,8.04745825798777e-05
17,5000,B1,0.00012278429019711565
17,5000,B2,9.508803298410134e-05
17,10000,B0,6.065773269107851e-05
17,10000,B1,4.371987145699137e-05
17,10000,B2,5.1721222545165186e-05
17,25000,B0,3.426837941572146e-05
17,25000,B1,3.576934431873063e-05
17,25000,B2,2.640464376626674e-05
17,50000,B0,2.3214140028492716e-05
17,50000,B1,2.9199722823375992e-05
17,50000,B2,2.9271926595340767e-05
17,100000,B0,2.0308292886419506e-05
17,100000,B1,2.3391500348460977e-05
17,100000,B2,2.2294719777609104e-05
18,100,B0,0.004781919607102883
18,100,B1,0.004195409678722418
18,100,B2,0.0036428134719476896
