seed,method,C_D,R_pi,C_bin
14,unstructured table,284.537733934596,0.037158221727485986,"(255.682, 291.182]"
15,structured active boundary,8.061523190384447,0.02305545639330118,"(6.902, 42.685]"
15,unstructured table,55.40635075572806,0.13947706627854053,"(42.685, 78.185]"
15,structured active boundary,9.362316482822445,0.01555073709930804,"(6.902, 42.685]"
15,unstructured table,65.25986475506934,0.14349828279772078,"(42.685, 78.185]"
15,structured active boundary,13.201907689809104,0.008581225020941326,"(6.902, 42.685]"
15,unstructured table,78.82479749549923,0.12450163263606608,"(78.185, 113.684]"
15,structured active boundary,16.06552149546034,0.004806247611795464,"(6.902, 42.685]"
15,unstructured table,93.80452393929782,0.1276857607739372,"(78.185, 113.684]"
15,structured active boundary,19.468256235211673,0.0022757113859765863,"(6.902, 42.685]"
15,unstructured table,114.081765572814,0.10997098861641243,"(113.684, 149.184]"
15,structured active boundary,25.881535885547205,0.0008995134776544645,"(6.902, 42.685]"
15,unstructured table,136.99254257147393,0.0920981535687095,"(113.684, 149.184]"
15,structured active boundary,34.04697618621982,0.00021892036509319144,"(6.902, 42.685]"
15,unstructured table,170.12546004737072,0.07083414188555717,"(149.184, 184.683]"
15,structured active boundary,44.711259022508735,6.346525583305085e-05,"(42.685, 78.185]"
15,unstructured table,221.1985321310791,0.05083289385099136,"(220.183, 255.682]"
15,structured active boundary,58.22953906570899,3.7998700165254745e-05,"(42.685, 78.185]"
15,unstructured table,286.0540900989666,0.041401711495368795,"(255.682, 291.182]"
16,structured active boundary,7.789879452137561,0.020348774885056105,"(6.902, 42.685]"
16,unstructured table,55.25547959497601,0.12225712548928962,"(42.685, 78.185]"
16,structured active boundary,9.611984681531617,0.015429892592019953,"(6.902, 42.685]"
16,unstructured table,61.73524165394341,0.14348746318177424,"(42.685, 78.185]"
16,structured active boundary,13.387098389805141,0.008489484734940182,"(6.902, 42.685]"
16,unstructured table,81.09917631858028,0.14811620176443022,"(78.185, 113.684]"
16,structured active boundary,17.222074833203845,0.004660618752873496,"(6.902, 42.685]"
16,unstructured table,88.77547460014546,0.13330339523728146,"(78.185, 113.684]"
16,structured active boundary,19.24284348357524,0.0027990351104749856,"(6.902, 42.685]"
16,unstructured table,113.20853590867293,0.10544756234218929,"(78.185, 113.684]"
16,structured active boundary,26.456847088661124,0.0009032300384132152,"(6.902, 42.685]"
16,unstructured table,136.89333486633998,0.08626884759525114,"(113.684, 149.184]"
16,structured active boundary,34.1994179853134,0.0002253871750569137,"(6.902, 42.685]"
16,unstructured table,171.56635409560667,0.07306341692162771,"(149.184, 184.683]"
16,structured active boundary,45.23435417368223,6.085351231217934e-05,"(42.685, 78.185]"
16,unstructured table,223.27753860404218,0.05189841802636788,"(220.183, 255.682]"
16,structured active boundary,57.87083606278826,3.527974342162804e-05,"(42.685, 78.185]"
16,unstructured table,284.4870071626603,0.04291177736380686,"(255.682, 291.182]"
17,structured active boundary,8.08384490257271,0.022208327565728544,"(6.902, 42.685]"
17,unstructured table,55.24090146450674,0.16376090078582975,"(42.685, 78.185]"
17,structured active boundary,9.94305961719532,0.01807112487076032,"(6.902, 42.685]"
17,unstructured table,67.17004577825242,0.15001084912469817,"(42.685, 78.185]"
17,structured active boundary,13.089474244251523,0.007689205955100623,"(6.902, 42.685]"
17,unstructured table,74.3102232043496,0.12801860224257025,"(42.685, 78.185]"
17,structured active boundary,15.788071256154083,0.005373070179650812,"(6.902, 42.685]"
17,unstructured table,90.34658346939995,0.11629482522919546,"(78.185, 113.684]"
17,structured active boundary,19.111563934763407,0.0028906529541851433,"(6.902, 42.685]"
17,unstructured table,110.16237336513888,0.10633848554102578,"(78.185, 113.684]"
17,structured active boundary,25.235236886982726,0.0008595899161985136,"(6.902, 42.685]"
17,unstructured table,136.5411682977538,0.09129144358843447,"(113.684, 149.184]"
17,structured active boundary,33.63577243359657,0.0002470461841845816,"(6.902, 42.685]"
17,unstructured table,175.6045158871885,0.06996267414560602,"(149.184, 184.683]"
17,structured active boundary,44.90751055000592,5.4299331987717356e-05,"(42.685, 78.185]"
