geometry,seed,method,budget,n_boundaries,slope,curvature,dH,R_pi,C_D
0,13,active,10000,3,0.6763449345994544,0.08643075341282644,9.474282151807067e-05,6.840753477901257e-05,15.800757942572146
0,13,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.05998819340197213,0.05453946181926729,84.45427578186703
0,14,active,10000,3,0.6763449345994544,0.08643075341282644,9.204841063582825e-05,9.328300197138078e-05,15.800736387285088
0,14,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.05828217664499107,0.04591389357031362,84.06612521066411
0,15,active,10000,3,0.6763449345994544,0.08643075341282644,0.00010638692171025671,6.840753477901257e-05,15.800851095373682
0,15,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.06736087370774162,0.04798477621407827,84.15931492963352
0,16,active,10000,3,0.6763449345994544,0.08643075341282644,0.0001427338287078167,4.9750934384736417e-05,15.801141870629664
0,16,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.09037459919735796,0.038364189277429864,83.72638851748434
0,17,active,10000,3,0.6763449345994544,0.08643075341282644,0.00011310435246370681,8.084526837519668e-05,15.800904834819711
0,17,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.0716141409077496,0.04786039887811643,84.15371794951524
0,18,active,10000,3,0.6763449345994544,0.08643075341282644,9.309102154785032e-05,0.00010572073556756488,15.800744728172383
0,18,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.0589423252877847,0.03980696637458722,83.79131348685642
0,19,active,10000,3,0.6763449345994544,0.08643075341282644,0.00013341192280625497,0.00013059620275993308,15.80106729538245
0,19,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.0844722597363424,0.07327068861512055,85.29718098768042
0,20,active,10000,3,0.6763449345994544,0.08643075341282644,9.626268466462334e-05,7.462640157710462e-05,15.800770101477317
0,20,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.060950523243041024,0.045658920031591846,84.05465140142164
0,21,active,10000,3,0.6763449345994544,0.08643075341282644,8.98717505783235e-05,6.840753477901257e-05,15.800718974004628
0,21,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.05690398352805489,0.046890255657614066,84.11006150459264
0,22,active,10000,3,0.6763449345994544,0.08643075341282644,0.00019810258148088983,0.00016169053675039335,15.801584820651847
0,22,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.12543236290502174,0.0881026859285701,85.96462086678565
0,23,active,10000,3,0.6763449345994544,0.08643075341282644,6.76519924232219e-05,6.218866798092052e-05,15.800541215939386
0,23,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.04283512714194868,0.031367964129576306,83.41155838583093
0,24,active,10000,3,0.6763449345994544,0.08643075341282644,0.0001175238547183391,8.706413517328872e-05,15.800940190837748
0,24,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.0744124316040091,0.052182511302790405,84.34821300862556
0,25,active,10000,3,0.6763449345994544,0.08643075341282644,7.424733045364312e-05,7.462640157710462e-05,15.80059397864363
0,25,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.04701108904577236,0.034166454188717735,83.5374904384923
0,26,active,10000,3,0.6763449345994544,0.08643075341282644,0.00011305442678003277,0.00011815846916374898,15.80090443541424
0,26,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.07158252952529372,0.06396726388517485,84.87852687483287
0,27,active,10000,3,0.6763449345994544,0.08643075341282644,0.00010927522997467715,5.596980118282847e-05,15.800874201839799
0,27,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.06918966022679054,0.04203332068830418,83.89149943097368
0,28,active,10000,3,0.6763449345994544,0.08643075341282644,0.00010055888238729577,7.462640157710462e-05,15.800804471059099
0,28,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.0636707413635666,0.04576464076715941,84.05940883452217
0,29,active,10000,3,0.6763449345994544,0.08643075341282644,7.886165439277906e-05,7.462640157710462e-05,15.800630893235143
0,29,uniform,10000,3,0.6763449345994544,0.08643075341282644,0.049932734743458614,0.03573982748863502,83.60829223698858
1,0,active,10000,3,0.7667492475135609,0.06213843437699293,0.00017266440883383083,9.950186876947283e-05,15.801381315270671
1,0,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.1093257070540198,0.05998097026759784,84.6991436620419
1,1,active,10000,3,0.7667492475135609,0.06213843437699293,0.0001425589372333995,6.218866798092052e-05,15.801140471497868
1,1,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.09026386338202451,0.06485656183730201,84.9185452826786
1,2,active,10000,3,0.7667492475135609,0.06213843437699293,9.875755156617261e-05,9.328300197138078e-05,15.80079006041253
1,2,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.06253019498815816,0.04675344058805604,84.10390482646253
1,3,active,10000,3,0.7667492475135609,0.06213843437699293,0.00015728392161963242,0.00013059620275993308,15.801258271372959
1,3,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.09958726326656614,0.09045341757824889,86.0704037910212
1,4,active,10000,3,0.7667492475135609,0.06213843437699293,8.079827971304784e-05,7.462640157710462e-05,15.800646386237705
1,4,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.0511589453671078,0.03355700524250471,83.5100652359127
1,5,active,10000,3,0.7667492475135609,0.06213843437699293,7.697481873252324e-05,9.950186876947283e-05,15.800615798549861
1,5,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.04873804937636689,0.0476489574069813,84.14420308331415
1,6,active,10000,3,0.7667492475135609,0.06213843437699293,0.00011694253111388386,0.00012437733596184103,15.800935540248911
1,6,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.07404435566690878,0.05652328032785866,84.54354761475363
1,7,active,10000,3,0.7667492475135609,0.06213843437699293,9.365085225914935e-05,5.596980118282847e-05,15.800749206818073
1,7,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.05929679259666874,0.03926592496315322,83.7669666233419
1,8,active,10000,3,0.7667492475135609,0.06213843437699293,5.3195717326960656e-05,1.8656600394276155e-05,15.800425565738616
1,8,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.03368186558126775,0.014415333237977376,82.64868999570898
1,9,active,10000,3,0.7667492475135609,0.06213843437699293,5.2363092963320784e-05,1.8656600394276155e-05,15.800418904743708
1,9,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.033154673857897256,0.013948918228120472,82.62770132026542
1,10,active,10000,3,0.7667492475135609,0.06213843437699293,0.00010300905306776659,8.084526837519668e-05,15.800824072424543
1,10,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.06522211285843851,0.057568049949938124,84.59056224774721
1,11,active,10000,3,0.7667492475135609,0.06213843437699293,0.00010496356216288874,3.109433399046026e-05,15.800839708497303
1,11,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.06645964692942148,0.027164010174066083,83.22238045783297
1,12,active,10000,3,0.7667492475135609,0.06213843437699293,9.863217097180743e-05,0.00010572073556756488,15.800789057367775
1,12,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.06245080791459498,0.05251833010988738,84.36332485494493
1,13,active,10000,3,0.7667492475135609,0.06213843437699293,0.00011133548938023138,0.00010572073556756488,15.800890683915043
1,13,uniform,10000,3,0.7667492475135609,0.06213843437699293,0.07049415208908745,0.050609138002873116,84.27741121012929
