seed,budget,method,dH,R_pi
12,2000,uniform,0.16133589943987625,0.17060839173885733
12,5000,active,0.00013723344680224316,0.00012437733596184103
12,5000,uniform,0.06412656402262375,0.05221360563678087
12,10000,active,9.780923467028746e-05,9.328300197138078e-05
12,10000,uniform,0.06192975036929753,0.04583304830193842
12,25000,active,6.66191878463257e-05,7.462640157710462e-05
12,25000,uniform,0.05444915365630756,0.03493137480488306
12,50000,active,3.935643294128593e-05,4.353206758664436e-05
12,50000,uniform,0.03476558054603022,0.02724485544244128
12,100000,active,4.465888205588686e-05,6.840753477901257e-05
12,100000,uniform,0.03956320446291427,0.03651096697159843
13,100,active,0.0032391473958007172,0.0022761052481016907
13,100,uniform,0.1439888833893537,0.10019838185085914
13,200,active,0.0015931007925079899,0.0010385507552813727
13,200,uniform,0.10913026423859878,0.07180925491756893
13,500,active,0.0021614316429333785,0.0014738714311478163
13,500,uniform,0.26270922572958416,0.16551513983121996
13,1000,active,0.0006474960199281815,0.00029850560630841847
13,1000,uniform,0.12099160174140741,0.059906343866020735
13,2000,active,0.00014916449073608395,0.00017412827034657744
13,2000,uniform,0.04228938378201532,0.0350495332740468
13,5000,active,0.00021567756074895167,0.0001927848707408536
13,5000,uniform,0.1007819976098624,0.08866238394039838
13,10000,active,9.474282151807067e-05,0.00012437733596184103
13,10000,uniform,0.05998819340197213,0.061063053090465856
13,25000,active,0.0001572955635675486,0.00010572073556756488
13,25000,uniform,0.12856071331731045,0.08632409002431576
13,50000,active,1.772487331293321e-05,3.109433399046026e-05
13,50000,uniform,0.015657300847051053,0.014029763496495668
13,100000,active,7.510558357674835e-05,7.462640157710462e-05
13,100000,uniform,0.0665358697434007,0.04304699597639318
14,100,active,0.0024754462831848567,0.0011940224252336739
14,100,uniform,0.11004029846502247,0.04723851219830722
14,200,active,0.0041575806983364175,0.0028420221267280677
14,200,uniform,0.2848017415699525,0.2206391751295079
14,500,active,0.0011006911362842603,0.0006529810137996655
14,500,uniform,0.13378249417512034,0.08068979670524437
14,1000,active,0.001164178718234446,0.0010136752880890044
14,1000,uniform,0.21753932610744425,0.1945074968439251
14,2000,active,0.0005070044223852085,0.00024875467192368207
14,2000,uniform,0.14374000468618844,0.08208282286801699
14,5000,active,7.235726658967073e-05,8.706413517328872e-05
14,5000,uniform,0.03381116627603895,0.028588130670829163
14,10000,active,9.204841063582825e-05,0.00011193960236565693
14,10000,uniform,0.05828217664499107,0.05096983227716245
14,25000,active,9.031084996159039e-05,7.462640157710462e-05
14,25000,uniform,0.07381280837189702,0.04305321484319127
14,50000,active,8.72468749324451e-05,0.00010572073556756488
14,50000,uniform,0.07706969435924696,0.054719808956411965
14,100000,active,3.659140181828252e-05,3.731320078855231e-05
14,100000,uniform,0.032416241631659105,0.02983190403044757
15,100,active,0.007470016632003411,0.005360663179955348
15,100,uniform,0.3320624912396722,0.2564163158189315
15,200,active,0.0032240906113865523,0.0026554561227853063
15,200,uniform,0.22085599480237375,0.18075758235334358
15,500,active,0.0019437793167894138,0.0009017356857233475
15,500,uniform,0.23625487346428362,0.119713185863272
15,1000,active,0.0011947397978963048,0.0007089508149824939
15,1000,uniform,0.2232499928380976,0.11932761612179028
15,2000,active,0.0005801628594009692,0.0004975093438473641
15,2000,uniform,0.1644810349715064,0.12611239979850872
15,5000,active,0.00016443680751980494,0.00018656600394276155
15,5000,uniform,0.07683817400791283,0.07810896698403617
15,10000,active,0.0001063869217102561,9.950186876947283e-05
15,10000,uniform,0.0673608737077416,0.05133674541824989
15,25000,active,5.472971422389172e-05,9.950186876947283e-05
15,25000,uniform,0.04473165638426444,0.0248008407907911
15,50000,active,3.928646941715741e-05,3.109433399046026e-05
15,50000,uniform,0.034703778132802655,0.023575724031566967
15,100000,active,4.6362065219780607e-05,5.596980118282847e-05
15,100000,uniform,0.041072050646495495,0.02958936822532198
16,100,active,0.010550584082918334,0.008264873974664336
16,100,uniform,0.4690020661530804,0.4038283344009055
16,200,active,0.002298978497926145,0.0011815846916374897
16,200,uniform,0.15748415425904774,0.08236889074072923
16,500,active,0.001326275738848172,0.0012313356260222263
16,500,uniform,0.16120096769929462,0.14572048681289296
16,1000,active,0.0007405623489991908,0.00034203767389506286
16,1000,uniform,0.13838204720504288,0.06683416147909528
16,2000,active,0.00017924789627811466,0.00016169053675039335
16,2000,uniform,0.05081828148520249,0.033152778900628725
16,5000,active,0.0004548181180528133,0.0003482565406931549
16,5000,uniform,0.21252780459561357,0.1539729230539611
16,10000,active,0.0001427338287078167,7.462640157710462e-05
16,10000,uniform,0.09037459919735796,0.04400470146329936
16,25000,active,0.00010092186330816488,9.950186876947283e-05
16,25000,uniform,0.08248539527719899,0.05756183108314003
16,50000,active,7.111244044046006e-05,6.218866798092052e-05
16,50000,uniform,0.06281731069593394,0.03737538945653323
16,100000,active,7.314966012735014e-05,7.462640157710462e-05
16,100000,uniform,0.06480312150209605,0.035086846474835356
17,100,active,0.004682751265369184,0.003706444611662863
17,100,uniform,0.20816098914322947,0.15761096013084497
17,200,active,0.00443831567033201,0.0022761052481016907
17,200,uniform,0.30403259113011855,0.17280987058538194
17,500,active,0.001689025207323197,0.0009701432205023601
17,500,uniform,0.20529101898936603,0.10565232803278586
17,1000,active,0.0005956690861602917,0.0004353206758664436
17,1000,uniform,0.11130718124006175,0.08970093469567976
17,2000,active,0.0006768560489062228,0.00040422634187598335
17,2000,uniform,0.19189436491296769,0.12193954017698895
17,5000,active,4.462232774357341e-05,4.9750934384736417e-05
17,5000,uniform,0.020851160001928756,0.012873054272050547
17,10000,active,0.00011310435246370604,9.950186876947283e-05
17,10000,uniform,0.0716141409077496,0.05106311527913383
17,25000,active,3.1689769474277374e-05,3.731320078855231e-05
17,25000,uniform,0.025900662905332633,0.01297255614082002
17,50000,active,6.97001194421301e-05,7.462640157710462e-05
17,50000,uniform,0.061569734232477843,0.051212368082288046
17,100000,active,7.596577380881292e-05,0.00011815846916374898
17,100000,uniform,0.06729791036017244,0.06894235732364848
18,100,active,0.01323472144081928,0.009110639859204855
18,100,uniform,0.5883192486711926,0.41285812899173513
18,200,active,0.0029585871002669787,0.0018843166398218917
18,200,uniform,0.20266852765590185,0.13184619498634959
18,500,active,0.0010320943667627355,0.0007587017493672303
18,500,uniform,0.1254449627674312,0.08956411962612172
18,1000,active,0.0008920129076742113,0.0005907923458187449
18,1000,uniform,0.1666822144875366,0.11075179880722134
18,2000,active,0.0003013257606036407,0.0002736301391160503
18,2000,uniform,0.08542837957403274,0.07669728422086927
18,5000,active,0.0002698335210529058,0.00015547166995230128
18,5000,uniform,0.1260880417015694,0.07439630350557522
18,10000,active,9.309102154785032e-05,0.00010572073556756488
18,10000,uniform,0.058942325287784814,0.04543504082686053
18,25000,active,6.33183905683829e-05,6.840753477901257e-05
18,25000,uniform,0.05175134805428198,0.030727420849372827
18,50000,active,1.823508150511355e-05,3.109433399046026e-05
18,50000,uniform,0.01610799423251092,0.008737507851319333
18,100000,active,1.0688522117489885e-05,3.731320078855231e-05
18,100000,uniform,0.009468938013551732,0.007947711767961642
19,100,active,0.0072727935099324535,0.006162896996909223
19,100,uniform,0.3232953887724081,0.26159041299494407
19,200,active,0.004795033365567574,0.0032835616693926034
19,200,uniform,0.32846839363722363,0.22214414089464618
19,500,active,0.0018760409215141521,0.0010447696220794646
19,500,uniform,0.22802167236670498,0.10970702918514189
19,1000,active,0.00032612560539577867,0.0002860678727122344
19,1000,uniform,0.060940080172385065,0.061181211559629606
19,2000,active,0.0005538518544483256,0.0002798490059141423
19,2000,uniform,0.157021644464838,0.0798813440214924
19,5000,active,0.00014279319055060524,0.00014925280315420924
19,5000,uniform,0.06672452590244848,0.0639983582191653
19,10000,active,0.00013341192280625364,0.00013059620275993308
19,10000,uniform,0.0844722597363424,0.0800430345582428
19,25000,active,3.583519248942513e-05,6.840753477901257e-05
19,25000,uniform,0.02928879749574101,0.018009838247274583
19,50000,active,8.53053882568025e-05,5.596980118282847e-05
19,50000,uniform,0.07535467837948603,0.03733807625574468
19,100000,active,6.485659066083477e-05,7.462640157710462e-05
19,100000,uniform,0.05745630967364677,0.042213667825448845
20,100,active,0.00927073729821909,0.004707682166155683
20,100,uniform,0.41210940678314545,0.23960671886368867
20,200,active,0.0033484165876066854,0.0022450109141112307
20,200,uniform,0.2293725473647917,0.14746798838315683
20,500,active,0.002326659303609188,0.0014800902979459083
20,500,uniform,0.2827916701349658,0.17167181796133107
20,1000,active,0.0007397531787394753,0.0004726338766549959
20,1000,uniform,0.13823084503114785,0.08096964571115851
20,2000,active,0.00035163109573002616,0.00023631693832749796
20,2000,uniform,0.09969036386362917,0.06383666768241492
20,5000,active,0.00021629438893299574,0.00016169053675039335
20,5000,uniform,0.1010702296185851,0.06629312006766128
20,10000,active,9.626268466462334e-05,0.00012437733596184103
20,10000,uniform,0.060950523243041024,0.0528168357161958
20,25000,active,7.632312522265718e-05,7.462640157710462e-05
20,25000,uniform,0.06238036978723785,0.051392715219432714
20,50000,active,4.631816216194018e-05,4.353206758664436e-05
20,50000,uniform,0.04091523740959485,0.022960056218555853
20,100000,active,2.5123537099706453e-05,4.9750934384736417e-05
20,100000,uniform,0.02225688573805874,0.022014788465245863
21,100,active,0.01283844447048138,0.008040994769933023
21,100,uniform,0.5707036629939711,0.34586227697588945
21,200,active,0.004679999101562325,0.0031218711326422097
21,200,uniform,0.3205883400421019,0.24329450687495724
21,500,active,0.0023268163897835407,0.00190919210701426
21,500,uniform,0.28281076302989583,0.23943259059334207
21,1000,active,0.0012061415264689947,0.0010447696220794646
21,1000,uniform,0.22538052856367183,0.2147747837389071
21,2000,active,0.0005847499651488691,0.0004104452086740754
21,2000,uniform,0.16578151791128545,0.1194022425233674
21,5000,active,9.533841738871424e-05,6.840753477901257e-05
21,5000,uniform,0.04454981834935523,0.022045882799236322
21,10000,active,8.987175057832473e-05,8.084526837519668e-05
21,10000,uniform,0.05690398352805489,0.05073351533883496
21,25000,active,4.826022970041283e-05,6.840753477901257e-05
21,25000,uniform,0.039444021270681355,0.026871723434555756
21,50000,active,3.7501347742286835e-05,4.353206758664436e-05
21,50000,uniform,0.03312688747645127,0.02019266049340489
21,100000,active,3.2071510940000214e-05,4.353206758664436e-05
21,100000,uniform,0.028412080337549404,0.02076479623882936
22,100,active,0.003994852454794645,0.002444014651650176
22,100,uniform,0.17758202205210644,0.11126796475146299
22,200,active,0.00360877128757299,0.002736301391160503
22,200,uniform,0.24720731170406124,0.18124887283039284
22,500,active,0.0007799603444288983,0.0006902942145882178
22,500,uniform,0.09479956437883194,0.08208904173481509
22,1000,active,0.0004363026791385505,0.0002798490059141423
22,1000,uniform,0.0815278524783511,0.05306559038811948
22,2000,active,0.0006142770432694539,0.00040422634187598335
22,2000,uniform,0.17415269212602696,0.13357503995621917
22,5000,active,0.00027194776042879093,0.00016169053675039335
22,5000,uniform,0.12707598531050546,0.07116249277056735
22,10000,active,0.0001981025814808903,0.00013059620275993308
22,10000,uniform,0.12543236290502172,0.09424070745828696
22,25000,active,1.926973418143328e-05,2.4875467192368208e-05
22,25000,uniform,0.015749527295038628,0.010845703695872538
22,50000,active,2.4900600699675845e-05,2.4875467192368208e-05
22,50000,uniform,0.021995993401150927,0.014869310514238095
22,100000,active,1.6237005759547896e-05,1.8656600394276155e-05
22,100000,uniform,0.014384327353434881,0.0075310476924894745
23,100,active,0.00378863435477763,0.0031716220670269463
23,100,uniform,0.16841506842887632,0.14651028289625065
23,200,active,0.0024815214559665913,0.0018718789062257075
23,200,uniform,0.16998867458790895,0.12085123848732283
23,500,active,0.003414689600706479,0.0021268524449474815
23,500,uniform,0.41503531422858564,0.2696127511644828
23,1000,active,0.0006267791308378484,0.0005410414114340085
23,1000,uniform,0.11712042799359848,0.10643590524934546
23,2000,active,0.00024164099553980467,0.0002300980715294059
23,2000,uniform,0.06850724825609414,0.0690107648584275
23,5000,active,0.00018483420357777626,0.00015547166995230128
23,5000,uniform,0.08636948692533133,0.0650120335072543
23,10000,active,6.76519924232219e-05,9.328300197138078e-05
23,10000,uniform,0.04283512714194868,0.03471993333374793
23,25000,active,5.62732548016337e-05,6.840753477901257e-05
23,25000,uniform,0.0459932220204151,0.04395495052891462
23,50000,active,6.066437932006271e-05,4.353206758664436e-05
23,50000,uniform,0.053587995860106576,0.028731164607185278
23,100000,active,5.3827407483780745e-05,8.706413517328872e-05
23,100000,uniform,0.04768558078384774,0.045093003152965466
24,100,active,0.00383702856333,0.003233810735007867
24,100,uniform,0.17056632220046392,0.1434879136323779
24,200,active,0.003679281462694188,0.0019465053078028122
24,200,uniform,0.25203738528049413,0.15058985951579903
24,500,active,0.0013669119110735276,0.0006591998805977574
24,500,uniform,0.16614005396502518,0.07469480911188363
24,1000,active,0.0012835521990657306,0.0009017356857233475
24,1000,uniform,0.23984554607898745,0.1682079091547938
24,2000,active,0.00039513960520107944,0.00025497353872177414
24,2000,uniform,0.11202539109246537,0.06958911947065005
24,5000,active,0.0002788342547979314,0.0001803471371446695
24,5000,uniform,0.13029391237088445,0.08809024819497391
24,10000,active,0.00011752385471833936,0.00011815846916374898
24,10000,uniform,0.0744124316040091,0.055926269115241824
24,25000,active,7.544479420044837e-05,9.328300197138078e-05
24,25000,uniform,0.06166249281613154,0.05302205832053283
24,50000,active,2.2607306753663864e-05,3.731320078855231e-05
24,50000,uniform,0.01997020779416389,0.010472571687987015
24,100000,active,3.878908506421003e-05,4.9750934384736417e-05
24,100000,uniform,0.034363164339895405,0.023687663633932626
25,100,active,0.016464164524696685,0.009029794590829658
25,100,uniform,0.7318767490862159,0.36581240166416873
25,200,active,0.007478860425010933,0.005180316042810679
25,200,uniform,0.5123153652445057,0.19252367833533374
25,500,active,0.0005674528129068421,0.00031716220670269463
25,500,uniform,0.06897053145503391,0.039079358959210456
25,1000,active,0.0006038580202750235,0.0005223848110397323
25,1000,uniform,0.112837371734826,0.09087008165372105
25,2000,active,0.00031715935003116813,0.00018656600394276155
25,2000,uniform,0.0899173349322806,0.05345116012960118
25,5000,active,9.904431326393723e-05,9.328300197138078e-05
25,5000,uniform,0.0462815125874608,0.03610052176292436
25,10000,active,7.424733045364312e-05,9.328300197138078e-05
25,10000,uniform,0.04701108904577236,0.0400557210465109
25,25000,active,1.1188853817303834e-05,4.353206758664436e-05
25,25000,uniform,0.009144867123626887,0.006977568547459282
25,50000,active,3.372997470417394e-05,3.731320078855231e-05
