x,z,method
-0.39032976999373914,0.2969761407053665,active boundary sampling
-0.5343745182029265,-0.18037217951203463,active boundary sampling
0.8707334103482285,-0.4890368595079823,active boundary sampling
-0.12678714532521607,-0.4409253928213806,active boundary sampling
0.3878100072180184,0.24671051822444381,active boundary sampling
-0.8513531620731758,1.0,active boundary sampling
-0.15079597290126845,0.10728187333948926,active boundary sampling
-0.8947865398455117,0.5872241720302537,active boundary sampling
0.9173222046528691,-0.5228532015302398,active boundary sampling
-0.37092116990235646,0.28754503403155846,active boundary sampling
0.9956401685707912,-1.0,active boundary sampling
-0.6440450305578791,0.9793733665240987,active boundary sampling
-0.6007216907345139,0.9905788116871213,active boundary sampling
0.4931080892546036,-0.9250262330347797,active boundary sampling
-0.6286915202151155,1.0,active boundary sampling
-0.09069448675398561,-0.5051682600992415,active boundary sampling
-0.2502872738632338,0.7243650424362468,active boundary sampling
0.7823021426362438,-0.48196417095754995,active boundary sampling
0.9375280747887396,-1.0,active boundary sampling
0.4764028354978229,0.20504482351947112,active boundary sampling
0.40828954503739046,0.23415948643329404,active boundary sampling
-0.5228793988490668,-0.17098010419806534,active boundary sampling
-0.9009234151694796,1.0,active boundary sampling
0.02316618004993609,-0.5740174424613578,active boundary sampling
-0.9706596245144763,0.5409530431815253,active boundary sampling
0.15775183893598177,-0.1687162735494129,active boundary sampling
-0.050352370149340464,0.014360177365086081,active boundary sampling
-0.544306316947333,-0.17352106952996557,active boundary sampling
0.20151982785488842,-0.16796965824682147,active boundary sampling
-0.7186883249633931,0.5054539991488711,active boundary sampling
-0.28931648704201396,-0.3252552229355667,active boundary sampling
-0.9520838648867924,0.03051489208080648,active boundary sampling
0.8301455861137554,-0.5128160710273846,active boundary sampling
0.5008539208651857,-0.9123079666703439,active boundary sampling
0.38530608626075025,-0.2829660845326755,active boundary sampling
0.2575329932870254,0.33920579563715153,active boundary sampling
0.7443138759373245,0.11315678139863175,active boundary sampling
-0.7372589191191632,0.5348980409257166,active boundary sampling
0.32794991976818033,0.26435533743080475,active boundary sampling
-0.23783616991353118,-0.3811736467744334,active boundary sampling
0.6270363410300857,-1.0,active boundary sampling
0.34986162972756407,-0.2768956898722325,active boundary sampling
-0.40654349366777964,-0.22955203099648133,active boundary sampling
0.3124573620874105,-0.841817658771811,active boundary sampling
-0.14706288533851142,-0.4388193815893932,active boundary sampling
-0.8658119126857675,-0.0025877917100286738,active boundary sampling
-0.7128586516183368,-0.10053298113452197,active boundary sampling
-0.23072692027953945,0.15963114633934503,active boundary sampling
0.7421679706227582,-0.46693942667738453,active boundary sampling
-0.629475205812094,0.991266740888553,active boundary sampling
0.39973876402904107,-0.3128703294661372,active boundary sampling
0.21904724663804376,0.35597167860052187,active boundary sampling
0.6026693746727183,0.14639251663315656,active boundary sampling
0.16580295810442092,-0.17119705646662434,active boundary sampling
0.4459197600797833,-0.3379336514542809,active boundary sampling
-0.9985356117039599,-0.007809527014650142,active boundary sampling
0.12014849464264188,-0.676894348289532,active boundary sampling
-0.3246187620109158,0.2696559782434341,active boundary sampling
0.5524770399852212,-0.389001185873856,active boundary sampling
0.2683346279599359,-0.7620088929602735,active boundary sampling
-0.10964984822473012,0.07051733971243948,active boundary sampling
-0.18582720045776457,0.1564977856382019,active boundary sampling
0.6544649603211818,-0.4340025966940716,active boundary sampling
0.6300942811173711,0.13727841135904956,active boundary sampling
0.7459766983637854,-1.0,active boundary sampling
0.48011349858605135,-0.9152996375534588,active boundary sampling
-0.1804395154685965,0.11424973826432296,active boundary sampling
-0.6313521204584212,1.0,active boundary sampling
0.4076447790946125,-0.880524633486737,active boundary sampling
-0.4867819711742034,0.9281698440673006,active boundary sampling
0.761863268057791,0.11030688665408941,active boundary sampling
-0.8752082253773883,-0.025699542907261765,active boundary sampling
-0.10270337486764491,-0.4910487371593957,active boundary sampling
-0.9183186759623618,0.6034086181425506,active boundary sampling
-0.15763759516752174,0.652697139168778,active boundary sampling
-0.439341071306671,-0.1934888233232902,active boundary sampling
0.7744235653667639,-1.0,active boundary sampling
-0.5217162563786573,0.38546120917541427,active boundary sampling
0.5411240689916672,-0.9667144076252521,active boundary sampling
-0.5275756075652203,-0.170164997567024,active boundary sampling
0.24814600007021292,-0.2048357355113221,active boundary sampling
0.2978326604584767,-0.8062495216369288,active boundary sampling
-0.9091856003714887,1.0,active boundary sampling
-0.5702743067273981,0.9866571488122877,active boundary sampling
-0.4347949952419923,0.8765772442660325,active boundary sampling
-0.8124758616477132,0.5249770239975943,active boundary sampling
0.20973114930855874,-0.17839951452152233,active boundary sampling
-0.16115978196794156,-0.3997279057992622,active boundary sampling
-0.896540992506222,0.016579613641792106,active boundary sampling
-0.7291485376149707,1.0,active boundary sampling
-0.7503857929233926,0.4963924285793132,active boundary sampling
-0.8614269389240334,1.0,active boundary sampling
-0.7933576831100122,1.0,active boundary sampling
0.8111563272437883,0.08808510642109843,active boundary sampling
0.31971271677355206,0.2764925199377499,active boundary sampling
-0.5099041113594343,0.3885521587415127,active boundary sampling
0.012644438346850695,0.5164600574986402,active boundary sampling
-0.9695186044143471,0.5828993660644832,active boundary sampling
0.31245438692655947,-0.7938639134064699,active boundary sampling
0.9272861837583635,-0.5547849731946061,active boundary sampling
-0.1791769629617912,-0.4191711374523385,active boundary sampling
-0.10703124269401232,0.08428981555037837,active boundary sampling
0.83216676285591,0.06153845738025213,active boundary sampling
