geometry,method,dH_mean,dH_sd,dH_ci95,R_pi_mean,R_pi_sd,R_pi_ci95,C_D_mean,C_D_sd,C_D_ci95
28,uniform,0.06694391205486079,0.02820605073834035,0.010093405628382514,0.06052532840799084,0.0224628107560446,0.008038213595289464,102.72363977835957,1.0108264840220078,0.36171961178802614
29,active,0.00010650644421318743,4.636689660538532e-05,1.659218085895578e-05,6.0737599061365704e-05,2.8082817418952963e-05,1.0049307151390903e-05,15.800852051553708,0.0003709351728431454,0.0001327374468716687
29,uniform,0.06743655162091325,0.02935806973493619,0.010505650331907718,0.04606791417134636,0.01798152658377761,0.006434606649165019,84.07305613771061,0.809168696269992,0.28955729921242573
30,active,0.00011562813560011149,4.559417526585739e-05,1.6315666078850074e-05,8.436929289411551e-05,4.766134872998752e-05,1.705539460274912e-05,15.800925025084801,0.00036475340212676813,0.00013052532863076804
30,uniform,0.07321212150899621,0.028868806734123276,0.010330569815603756,0.04437866265342463,0.020757510505496825,0.007427979737787235,83.99703981940411,0.934087972747356,0.3342590882004252
31,active,9.535080160775824e-05,4.375652913362612e-05,1.565807285581775e-05,6.944401257869458e-05,2.6338043763026244e-05,9.424947917184247e-06,15.80076280641286,0.00035005223306918846,0.00012526458284660625
31,uniform,0.06037314739234139,0.0277052666387544,0.009914202339830864,0.04024436000605302,0.018675271907414748,0.006682860224939277,83.81099620027241,0.8403872358336644,0.3007287101222677
32,active,9.477503877559611e-05,4.814413958432771e-05,1.722815909118227e-05,3.8142383028297923e-05,3.0629084610420444e-05,1.0960477163816252e-05,12.200758200310203,0.00038515311667453673,0.00013782527272942775
32,uniform,0.06000859236245874,0.030483364441537555,0.010908331871076912,0.029275522747578265,0.017501010656041264,0.006262656232762029,65.31739852364102,0.7875454795218567,0.28181953047429126
33,active,7.973197682236675e-05,3.736025157423579e-05,1.3369194326967532e-05,7.11023770581858e-05,3.5619368966834555e-05,1.2746227486593381e-05,12.20063785581458,0.0002988820125939393,0.0001069535546157592
33,uniform,0.05048379570400178,0.023655343603559573,0.008464955994174014,0.023567224913609578,0.013675345818344186,0.004893659652442157,65.06052512111243,0.6153905618254872,0.22021468435989666
34,active,0.0001046616472902553,3.191910752765278e-05,1.1422105936107876e-05,0.00012873054272050547,5.1983333770400776e-05,1.8601997086640806e-05,23.000837293178325,0.0002553528602212949,9.1376847488889e-05
34,uniform,0.06626848386836652,0.02021018125601286,0.007232120481255072,0.07340169940900035,0.025348400422078508,0.009070808595792637,121.30307647340501,1.1406780189935344,0.4081863868106692
35,active,7.797570673789787e-05,4.332773103079504e-05,1.550462942537423e-05,4.747068322543598e-05,3.0835207032006534e-05,1.1034237125090976e-05,12.200623805653903,0.00034662184824618404,0.00012403703540293077
35,uniform,0.049371780378675956,0.027433765082103243,0.009817046755540135,0.025971853408871832,0.016834979700454816,0.0060243201162260345,65.16873340339923,0.7575740865204666,0.2710944052301716
36,active,0.00012365752746597048,4.141563846415078e-05,1.482039588792541e-05,0.00012023142476311301,5.79098537741217e-05,2.072277503308926e-05,23.000989260219733,0.0003313251077133569,0.00011856316710345718
36,uniform,0.07829608148011576,0.02622308783129341,0.009383811465323903,0.08697644915143563,0.03124519385701132,0.011180949026216537,121.91394021181462,1.4060337235655103,0.5031427061797444
37,active,0.00011205216203628785,3.111077499646325e-05,1.1132847854726676e-05,0.00015008198539395487,4.673029146431276e-05,1.672222003914621e-05,23.00089641729629,0.0002488861999715405,8.906278283775418e-05
