seed,family,structure,grid_size,states,actions,C_B,C_R,F,L,kappa,C_top,C_D,boundary_edges,L_table,L_Gamma,L_Pi_struct,table_to_boundary_ratio,table_to_struct_policy_ratio
2,random_structured,structured,320,102400,2,1.0,2.0,1.0,2.1567398119122254,1.0783699059561127,4.0,7.235109717868339,344.0,102400.0,5727.486529282505,5729.486529282505,17.878697658469722,17.87245671608611
2,random_structured,structured,320,102400,3,2.0,3.0,1.0,4.313479623824451,2.1567398119122254,6.0,12.470219435736677,688.0,162300.16007384637,11457.312908567896,11462.06779607006,14.165639131010959,14.159762702633238
2,random_structured,structured,320,102400,4,3.0,4.0,1.0,6.971786833855799,3.4858934169278997,8.0,18.4576802507837,1112.0,204800.0,18519.968083029493,18527.968083029493,11.058334392469366,11.053559628461608
2,random_structured,structured,320,102400,5,4.0,5.0,1.0,9.630094043887148,4.815047021943574,10.0,24.44514106583072,1536.0,237765.4369164659,25583.538532253075,25595.148172727513,9.293688463646882,9.289472962294195
2,random_structured,structured,320,102400,8,7.0,8.0,1.0,17.60501567398119,8.802507836990594,16.0,42.40752351097178,2808.0,307200.0,46777.948180887426,46801.948180887426,6.567196979484364,6.5638293263495315
2,random_structured,structured,320,102400,10,9.0,10.0,1.0,22.934169278996865,11.467084639498433,20.0,54.40125391849529,3658.0,340165.4369164659,60943.02064790391,60976.23992885279,5.5816963665414505,5.578655510955934
2,oscillatory_fragmented,unstructured,320,102400,2,1.0,13.0,6.5,11.203761755485893,5.601880877742946,20.5,37.30564263322884,1787.0,102400.0,29744.57101112743,29757.57101112743,3.4426450447610155,3.441141078406868
2,oscillatory_fragmented,unstructured,320,102400,3,2.0,23.0,7.666666666666667,22.25705329153605,11.128526645768025,32.666666666666664,66.05224660397073,3550.0,162300.16007384637,59092.02932370315,59128.48346121974,2.7465660247471666,2.7448727004861078
2,oscillatory_fragmented,unstructured,320,102400,4,3.0,34.0,8.5,34.05015673981191,17.025078369905955,45.5,96.57523510971787,5431.0,204800.0,90404.78296666652,90472.78296666652,2.2653668675418706,2.2636642013704367
2,oscillatory_fragmented,unstructured,320,102400,5,4.0,45.0,9.0,45.73040752351097,22.865203761755485,58.0,126.59561128526644,7294.0,237765.4369164659,121418.86247297593,121523.34923724586,1.95822487605157,1.9565411783729283
2,oscillatory_fragmented,unstructured,320,102400,8,7.0,78.0,9.75,81.0909090909091,40.54545454545455,94.75,216.38636363636363,12934.0,307200.0,215313.63595854628,215547.63595854628,1.4267558978900172,1.425207001848446
2,oscillatory_fragmented,unstructured,320,102400,10,9.0,99.0,9.9,104.62068965517241,52.310344827586206,117.9,274.83103448275864,16687.0,340165.4369164659,277795.8229444788,278124.6938258726,1.22451602515439,1.2230680858904082
3,inventory_threshold,structured,320,102400,2,1.0,2.0,1.0,2.70846394984326,1.35423197492163,4.0,8.06269592476489,432.0,102400.0,7192.14587398268,7194.14587398268,14.23775348751312,14.233795337723857
3,inventory_threshold,structured,320,102400,3,2.0,3.0,1.0,5.41692789968652,2.70846394984326,6.0,14.12539184952978,864.0,162300.16007384637,14386.631597968246,14391.38648547041,11.281317587694902,11.277590261209728
3,inventory_threshold,structured,320,102400,4,3.0,4.0,1.0,8.12539184952978,4.06269592476489,8.0,20.188087774294672,1296.0,204800.0,21582.43762194804,21590.43762194804,9.489196891815904,9.485680817873181
3,inventory_threshold,structured,320,102400,5,4.0,5.0,1.0,10.83385579937304,5.41692789968652,10.0,26.25078369905956,1728.0,237765.4369164659,28779.15892068982,28790.76856116426,8.26172292149693,8.258391449722765
3,inventory_threshold,structured,320,102400,8,7.0,8.0,1.0,18.95924764890282,9.47962382445141,16.0,44.438871473354226,3024.0,307200.0,50373.021117878765,50397.021117878765,6.0985025948933265,6.095598374385232
3,inventory_threshold,structured,320,102400,10,9.0,10.0,1.0,24.37617554858934,12.18808777429467,20.0,56.56426332288402,3888.0,340165.4369164659,64771.1075715521,64804.32685250098,5.251808247075101,5.249116122920394
3,machine_replacement,structured,320,102400,2,1.0,2.0,1.0,2.269592476489028,1.134796238244514,4.0,7.4043887147335425,362.0,102400.0,6027.07594069845,6029.07594069845,16.989996643070892,16.984360622954316
