seed,dimension,actions,C_V,C_D,DCR,C_B,C_R,F,C_top
9,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
9,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
9,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
9,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
9,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
9,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
10,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
10,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
10,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
10,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
10,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
10,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
10,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
10,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
11,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
11,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
11,6,4,64.0,20.188087774294672,3.1701863354037263,3.0,4.0,1.0,8.0
11,8,4,256.0,20.188087774294672,12.680745341614905,3.0,4.0,1.0,8.0
11,10,4,1024.0,20.188087774294672,50.72298136645962,3.0,4.0,1.0,8.0
11,12,4,4096.0,20.188087774294672,202.89192546583848,3.0,4.0,1.0,8.0
11,14,4,16384.0,20.188087774294672,811.5677018633539,3.0,4.0,1.0,8.0
11,16,4,65536.0,20.188087774294672,3246.2708074534157,3.0,4.0,1.0,8.0
12,2,4,4.0,20.188087774294672,0.1981366459627329,3.0,4.0,1.0,8.0
12,4,4,16.0,20.188087774294672,0.7925465838509316,3.0,4.0,1.0,8.0
