seed,family,structure,grid_size,states,actions,noise_amplitude,C_V,DCR,DCR_relative_to_clean,MDL_ratio,MDL_relative_to_clean,C_B,C_R,F,L,kappa,C_top,C_D,boundary_edges,L_table,L_Gamma,L_Pi_struct,table_to_boundary_ratio,table_to_struct_policy_ratio
1,admission_control,structured,320,102400,4,0.02,102400.0,5505.747513905276,0.9959548289229734,10.906597075074313,0.9929090690141656,3.0,4.0,1.0,7.065830721003135,3.5329153605015673,8.0,18.5987460815047,1127.0,204800.0,18769.625925876113,18777.625925876113,10.911245690712429,10.906597075074313
1,admission_control,structured,320,102400,4,0.035,102400.0,5500.185216366392,0.9949486445529552,10.887296807503237,0.9911520213691659,3.0,4.0,1.0,7.078369905956112,3.539184952978056,8.0,18.61755485893417,1129.0,204800.0,18802.913638255664,18810.913638255664,10.891928981863854,10.887296807503237
1,admission_control,structured,320,102400,4,0.05,102400.0,5489.09426987061,0.9929423626281298,10.848900471686628,0.9876565158703562,3.0,4.0,1.0,7.1034482758620685,3.5517241379310343,8.0,18.655172413793103,1133.0,204800.0,18869.48906301476,18877.48906301476,10.853500024090176,10.848900471686628
1,admission_control,structured,320,102400,4,0.075,102400.0,5461.561611770607,0.9879618792844007,10.754084138194726,0.9790246761895876,3.0,4.0,1.0,7.166144200626959,3.5830721003134793,8.0,18.74921630094044,1143.0,204800.0,19035.92762491251,19043.92762491251,10.75860362759397,10.754084138194726
1,admission_control,structured,320,102400,4,0.1,102400.0,5445.174195699284,0.9849974995832641,10.69798570960022,0.9739176168450899,3.0,4.0,1.0,7.2037617554858935,3.6018808777429467,8.0,18.80564263322884,1149.0,204800.0,19135.790762051158,19143.790762051158,10.70245816055566,10.69798570960022
1,resource_allocation,structured,320,102400,4,0.0,102400.0,4970.419963481436,1.0,9.174489761953113,1.0,3.0,4.0,1.0,8.401253918495298,4.200626959247649,8.0,20.60188087774295,1340.0,204800.0,22314.76729429813,22322.76729429813,9.17777888063975,9.174489761953113
1,resource_allocation,structured,320,102400,4,0.0025,102400.0,4972.689907139596,1.0004566905160606,9.181335365970153,1.0007461563743227,3.0,4.0,1.0,8.39498432601881,4.197492163009405,8.0,20.59247648902821,1339.0,204800.0,22298.123438108356,22306.123438108356,9.184629395762913,9.181335365970153
1,resource_allocation,structured,320,102400,4,0.005,102400.0,4974.961925068535,1.000913798355163,9.188191193397605,1.00149342707878,3.0,4.0,1.0,8.388714733542319,4.194357366771159,8.0,20.58307210031348,1338.0,204800.0,22281.47958191858,22289.47958191858,9.191490145304138,9.188191193397605
1,resource_allocation,structured,320,102400,4,0.01,102400.0,4977.236020112754,1.0013713240895934,9.195057267154455,1.0022418146114933,3.0,4.0,1.0,8.38244514106583,4.191222570532915,8.0,20.573667711598745,1337.0,204800.0,22264.835725728804,22272.835725728804,9.198361152215337,9.195057267154455
1,resource_allocation,structured,320,102400,4,0.02,102400.0,4988.6377519853395,1.0036652412950522,9.229542137857855,1.0060005926578115,3.0,4.0,1.0,8.351097178683386,4.175548589341693,8.0,20.526645768025077,1332.0,204800.0,22181.61644477993,22189.61644477993,9.23287085545996,9.229542137857855
