seed,family,structure,grid_size,states,actions,C_B,C_R,F,L,kappa,C_top,C_D,boundary_edges
1,admission_control,structured,120,14400,4,3.0,4.0,1.0,7.0588235294117645,3.5294117647058822,8.0,18.588235294117645,420.0
1,resource_allocation,structured,120,14400,4,3.0,4.0,1.0,8.436974789915967,4.218487394957983,8.0,20.655462184873947,502.0
1,random_structured,structured,120,14400,4,3.0,4.0,1.0,7.495798319327731,3.7478991596638656,8.0,19.243697478991596,446.0
1,oscillatory_fragmented,unstructured,120,14400,4,3.0,33.0,8.25,33.94957983193277,16.974789915966387,44.25,95.17436974789915,2020.0
1,inventory_threshold,structured,160,25600,4,3.0,4.0,1.0,8.150943396226415,4.0754716981132075,8.0,20.226415094339625,648.0
1,machine_replacement,structured,160,25600,4,3.0,4.0,1.0,6.817610062893082,3.408805031446541,8.0,18.22641509433962,542.0
1,admission_control,structured,160,25600,4,3.0,4.0,1.0,7.044025157232705,3.5220125786163523,8.0,18.566037735849058,560.0
1,resource_allocation,structured,160,25600,4,3.0,4.0,1.0,8.427672955974844,4.213836477987422,8.0,20.641509433962263,670.0
1,random_structured,structured,160,25600,4,3.0,4.0,1.0,7.49685534591195,3.748427672955975,8.0,19.245283018867923,596.0
1,oscillatory_fragmented,unstructured,160,25600,4,3.0,33.0,8.25,34.0,17.0,44.25,95.25,2703.0
1,inventory_threshold,structured,240,57600,4,3.0,4.0,1.0,8.13389121338912,4.06694560669456,8.0,20.20083682008368,972.0
1,machine_replacement,structured,240,57600,4,3.0,4.0,1.0,6.8117154811715475,3.4058577405857737,8.0,18.21757322175732,814.0
1,admission_control,structured,240,57600,4,3.0,4.0,1.0,7.02928870292887,3.514644351464435,8.0,18.543933054393307,840.0
1,resource_allocation,structured,240,57600,4,3.0,4.0,1.0,8.401673640167363,4.200836820083682,8.0,20.602510460251047,1004.0
1,random_structured,structured,240,57600,4,3.0,4.0,1.0,7.481171548117154,3.740585774058577,8.0,19.22175732217573,894.0
1,oscillatory_fragmented,unstructured,240,57600,4,3.0,34.0,8.5,33.98326359832636,16.99163179916318,45.5,96.47489539748955,4061.0
1,inventory_threshold,structured,320,102400,4,3.0,4.0,1.0,8.12539184952978,4.06269592476489,8.0,20.188087774294672,1296.0
1,machine_replacement,structured,320,102400,4,3.0,4.0,1.0,6.808777429467084,3.404388714733542,8.0,18.213166144200628,1086.0
1,admission_control,structured,320,102400,4,3.0,4.0,1.0,7.015673981191222,3.507836990595611,8.0,18.523510971786834,1119.0
